AbnormalityID,Source,SourceRefID,MachineID,MachineName,CellID,CellName,Area,Category,Severity,Description,ReportedByTechID,ReportedByName,ReportedDate,Status,ClosedDate,CorrectiveAction,OwnerFunction,EscalationRequired,PhotoURL
ABN-00001,PM Checklist,WO-00001,MC-001,CNC Lathe TL-01,CELL-01,CNC Turning Line A,Machine Shop,Oil / coolant leak,Medium,Task 8: Check hydraulic pressure - outside standard (35 - 40 bar),TECH-02,Suresh Babu,2024-09-06,Closed,2024-09-29,Corrective action completed and verified,Production,No,/sites/PMSystem/Photos/MC-001_1.jpg
ABN-00014,PM Checklist,WO-00057,MC-007,CNC Lathe TL-05,CELL-02,CNC Turning Line B,Machine Shop,Overheating,High,Task 10: Tailstock / chuck clamping pressure - outside standard (18 - 22 bar),TECH-02,Suresh Babu,2024-09-14,Closed,2024-09-27,Corrective action completed and verified,Maintenance,Yes,/sites/PMSystem/Photos/MC-007_14.jpg
ABN-00002,PM Checklist,WO-00003,MC-003,CNC Lathe TL-03,CELL-01,CNC Turning Line A,Machine Shop,Loose / missing fastener,Medium,Task 4: Check way lube level and top up - outside standard (Above MIN mark),TECH-03,Mohammed Rafi,2024-09-15,Closed,2024-09-27,Corrective action completed and verified,Production,No,/sites/PMSystem/Photos/MC-003_2.jpg
ABN-00003,PM Checklist,WO-00003,MC-003,CNC Lathe TL-03,CELL-01,CNC Turning Line A,Machine Shop,Abnormal vibration,High,Task 10: Tailstock / chuck clamping pressure - outside standard (18 - 22 bar),TECH-03,Mohammed Rafi,2024-09-15,Closed,2024-10-02,Corrective action completed and verified,Maintenance,Yes,/sites/PMSystem/Photos/MC-003_3.jpg
ABN-00015,PM Checklist,WO-00058,MC-008,VMC MC-01,CELL-02,CNC Turning Line B,Machine Shop,Abnormal noise,High,Task 12: Check chiller for spindle - temp and level - outside standard (20 +/- 2 deg C),TECH-01,Arun Kumar,2024-09-18,Closed,2024-10-17,Corrective action completed and verified,Production,Yes,/sites/PMSystem/Photos/MC-008_15.jpg
ABN-00016,PM Checklist,WO-00059,MC-009,VMC MC-02,CELL-02,CNC Turning Line B,Machine Shop,Air leak,High,"Task 2: Clean work enclosure, chip auger and coolant tank - outside standard (No chip accumulation)",TECH-03,Mohammed Rafi,2024-09-26,Open,,,Production,Yes,/sites/PMSystem/Photos/MC-009_16.jpg
ABN-00198,QR Walk-by,,MC-017,Quench Oil Chiller CH-01,CELL-04,Heat Treatment,Heat Treat,Wiring / cable damage,High,Observed during shop floor round - logged via machine QR,TECH-01,Arun Kumar,2024-10-07,Closed,2024-10-15,Rectified during next available window,Maintenance,Yes,/sites/PMSystem/Photos/MC-017_198.jpg
ABN-00200,QR Walk-by,,MC-024,Paint Booth PB-01,CELL-06,Paint & Finishing,Finishing,Abnormal vibration,Low,Observed during shop floor round - logged via machine QR,TECH-05,Prakash R,2024-10-07,Closed,2024-10-16,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-024_200.jpg
ABN-00115,QR Walk-by,,MC-031,Hyd Press HP-01,CELL-08,Press Shop,Fabrication,Corrosion / rust,Low,Observed during shop floor round - logged via machine QR,TECH-08,Karthik V,2024-10-14,Closed,2024-11-01,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-031_115.jpg
ABN-00182,QR Walk-by,,MC-030,Weld Compressor AC-02,CELL-07,Robotic Welding Bay,Fabrication,Housekeeping / 5S issue,Medium,Observed during shop floor round - logged via machine QR,TECH-05,Prakash R,2024-10-21,Closed,2024-10-22,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-030_182.jpg
ABN-00183,QR Walk-by,,MC-003,CNC Lathe TL-03,CELL-01,CNC Turning Line A,Machine Shop,Oil / coolant leak,Low,Observed during shop floor round - logged via machine QR,TECH-10,Naveen Raj,2024-10-25,Closed,2024-11-08,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-003_183.jpg
ABN-00199,QR Walk-by,,MC-011,Gear Hobber GH-02,CELL-03,Gear Cutting Cell,Machine Shop,Warning lamp / alarm active,Medium,Observed during shop floor round - logged via machine QR,TECH-10,Naveen Raj,2024-10-25,Closed,2024-11-26,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-011_199.jpg
ABN-00202,QR Walk-by,,MC-010,Gear Hobber GH-01,CELL-03,Gear Cutting Cell,Machine Shop,Overheating,Medium,Observed during shop floor round - logged via machine QR,TECH-09,Sathish Kumar,2024-10-31,Closed,2024-11-06,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-010_202.jpg
ABN-00127,QR Walk-by,,MC-016,Tempering Furnace TF-01,CELL-04,Heat Treatment,Heat Treat,Loose / missing fastener,Medium,Observed during shop floor round - logged via machine QR,TECH-02,Suresh Babu,2024-11-02,Closed,2024-11-10,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-016_127.jpg
ABN-00086,QR Walk-by,,MC-020,Assembly Stn AS-02,CELL-05,Assembly Line 1,Assembly,Wiring / cable damage,Low,Observed during shop floor round - logged via machine QR,TECH-05,Prakash R,2024-11-10,Closed,2024-11-22,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-020_86.jpg
ABN-00083,QR Walk-by,,MC-027,Robot Weld Cell RW-01,CELL-07,Robotic Welding Bay,Fabrication,Air leak,Low,Observed during shop floor round - logged via machine QR,TECH-09,Sathish Kumar,2024-11-11,Closed,2024-12-18,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-027_83.jpg
ABN-00053,PM Checklist,WO-00186,MC-020,Assembly Stn AS-02,CELL-05,Assembly Line 1,Assembly,Safety device bypassed,High,Task 8: Check station lighting and andon - outside standard (>= 500 lux),TECH-10,Naveen Raj,2024-11-13,Closed,2024-11-14,Corrective action completed and verified,Production,Yes,/sites/PMSystem/Photos/MC-020_53.jpg
ABN-00054,PM Checklist,WO-00188,MC-022,Leak Test Rig LT-01,CELL-05,Assembly Line 1,Assembly,Oil / coolant leak,Medium,Task 3: Torque tool calibration verification - outside standard (+/- 3 % of setpoint),TECH-10,Naveen Raj,2024-11-20,Closed,2024-12-06,Corrective action completed and verified,Production,No,/sites/PMSystem/Photos/MC-022_54.jpg
ABN-00136,QR Walk-by,,MC-002,CNC Lathe TL-02,CELL-01,CNC Turning Line A,Machine Shop,Air leak,Low,Observed during shop floor round - logged via machine QR,TECH-10,Naveen Raj,2024-11-23,Closed,2024-12-07,Rectified during next available window,Safety,No,/sites/PMSystem/Photos/MC-002_136.jpg
ABN-00197,QR Walk-by,,MC-029,Positioner PZ-01,CELL-07,Robotic Welding Bay,Fabrication,Overheating,Low,Observed during shop floor round - logged via machine QR,TECH-03,Mohammed Rafi,2024-11-27,Closed,2024-12-09,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-029_197.jpg
ABN-00124,QR Walk-by,,MC-025,Curing Oven CO-01,CELL-06,Paint & Finishing,Finishing,Damaged guard or cover,Low,Observed during shop floor round - logged via machine QR,TECH-05,Prakash R,2024-12-04,Closed,2024-12-08,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-025_124.jpg
ABN-00213,QR Walk-by,,MC-011,Gear Hobber GH-02,CELL-03,Gear Cutting Cell,Machine Shop,Loose / missing fastener,Medium,Observed during shop floor round - logged via machine QR,TECH-08,Karthik V,2024-12-15,Closed,2024-12-31,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-011_213.jpg
ABN-00078,QR Walk-by,,MC-021,Assembly Stn AS-03,CELL-05,Assembly Line 1,Assembly,Wiring / cable damage,Low,Observed during shop floor round - logged via machine QR,TECH-06,Deepak Nair,2024-12-18,Open,,,Production,No,/sites/PMSystem/Photos/MC-021_78.jpg
ABN-00102,QR Walk-by,,MC-008,VMC MC-01,CELL-02,CNC Turning Line B,Machine Shop,Safety device bypassed,Medium,Observed during shop floor round - logged via machine QR,TECH-03,Mohammed Rafi,2024-12-19,Open,,,Maintenance,No,/sites/PMSystem/Photos/MC-008_102.jpg
ABN-00092,QR Walk-by,,MC-007,CNC Lathe TL-05,CELL-02,CNC Turning Line B,Machine Shop,Safety device bypassed,Low,Observed during shop floor round - logged via machine QR,TECH-06,Deepak Nair,2024-12-22,Closed,2025-01-11,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-007_92.jpg
ABN-00181,QR Walk-by,,MC-024,Paint Booth PB-01,CELL-06,Paint & Finishing,Finishing,Oil / coolant leak,Low,Observed during shop floor round - logged via machine QR,TECH-06,Deepak Nair,2024-12-31,Closed,2025-01-02,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-024_181.jpg
ABN-00179,QR Walk-by,,MC-014,Sealed Quench SQ-01,CELL-04,Heat Treatment,Heat Treat,Oil / coolant leak,Low,Observed during shop floor round - logged via machine QR,TECH-10,Naveen Raj,2025-01-07,Closed,2025-02-03,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-014_179.jpg
ABN-00004,PM Checklist,WO-00007,MC-002,CNC Lathe TL-02,CELL-01,CNC Turning Line A,Machine Shop,Corrosion / rust,Medium,Task 12: Verify E-stop and door interlock function - outside standard (Stops within 1 s),TECH-03,Mohammed Rafi,2025-01-09,Closed,2025-01-26,Corrective action completed and verified,Maintenance,No,/sites/PMSystem/Photos/MC-002_4.jpg
ABN-00065,PM Checklist,WO-00229,MC-027,Robot Weld Cell RW-01,CELL-07,Robotic Welding Bay,Fabrication,Housekeeping / 5S issue,High,Task 9: Weld cell light curtain and door interlock - outside standard (Stops within 1 s),TECH-08,Karthik V,2025-01-09,Open,,,Production,Yes,/sites/PMSystem/Photos/MC-027_65.jpg
ABN-00171,QR Walk-by,,MC-003,CNC Lathe TL-03,CELL-01,CNC Turning Line A,Machine Shop,Damaged guard or cover,Medium,Observed during shop floor round - logged via machine QR,TECH-08,Karthik V,2025-01-10,Closed,2025-02-09,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-003_171.jpg
ABN-00133,QR Walk-by,,MC-006,CNC Lathe TL-04,CELL-02,CNC Turning Line B,Machine Shop,Housekeeping / 5S issue,High,Observed during shop floor round - logged via machine QR,TECH-02,Suresh Babu,2025-01-12,Closed,2025-02-15,Rectified during next available window,Production,Yes,/sites/PMSystem/Photos/MC-006_133.jpg
ABN-00066,PM Checklist,WO-00230,MC-028,Robot Weld Cell RW-02,CELL-07,Robotic Welding Bay,Fabrication,Warning lamp / alarm active,Medium,Task 2: Torch / nozzle / contact tip replacement - outside standard (New tip fitted),TECH-04,Vignesh S,2025-01-14,Closed,2025-01-16,Corrective action completed and verified,Safety,No,/sites/PMSystem/Photos/MC-028_66.jpg
ABN-00089,QR Walk-by,,MC-033,Press Feeder PF-01,CELL-08,Press Shop,Fabrication,Abnormal noise,High,Observed during shop floor round - logged via machine QR,TECH-10,Naveen Raj,2025-01-15,Closed,2025-01-25,Rectified during next available window,Production,Yes,/sites/PMSystem/Photos/MC-033_89.jpg
ABN-00145,QR Walk-by,,MC-008,VMC MC-01,CELL-02,CNC Turning Line B,Machine Shop,Safety device bypassed,Low,Observed during shop floor round - logged via machine QR,TECH-09,Sathish Kumar,2025-01-20,In Progress,,,Safety,No,/sites/PMSystem/Photos/MC-008_145.jpg
ABN-00104,QR Walk-by,,MC-033,Press Feeder PF-01,CELL-08,Press Shop,Fabrication,Corrosion / rust,High,Observed during shop floor round - logged via machine QR,TECH-01,Arun Kumar,2025-01-21,Closed,2025-02-04,Rectified during next available window,Safety,Yes,/sites/PMSystem/Photos/MC-033_104.jpg
ABN-00088,QR Walk-by,,MC-031,Hyd Press HP-01,CELL-08,Press Shop,Fabrication,Warning lamp / alarm active,Medium,Observed during shop floor round - logged via machine QR,TECH-08,Karthik V,2025-01-25,Closed,2025-02-02,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-031_88.jpg
ABN-00037,PM Checklist,WO-00125,MC-014,Sealed Quench SQ-01,CELL-04,Heat Treatment,Heat Treat,Wiring / cable damage,Medium,"Task 4: Door seal and curtain condition - outside standard (No gap, no burn-through)",TECH-02,Suresh Babu,2025-02-05,Closed,2025-03-02,Corrective action completed and verified,Production,No,/sites/PMSystem/Photos/MC-014_37.jpg
ABN-00017,PM Checklist,WO-00060,MC-006,CNC Lathe TL-04,CELL-02,CNC Turning Line B,Machine Shop,Safety device bypassed,High,Task 6: Spindle vibration check - outside standard (<= 2.8 mm/s RMS),TECH-01,Arun Kumar,2025-02-08,Closed,2025-02-20,Corrective action completed and verified,Production,Yes,/sites/PMSystem/Photos/MC-006_17.jpg
ABN-00193,QR Walk-by,,MC-004,Bar Feeder BF-01,CELL-01,CNC Turning Line A,Machine Shop,Corrosion / rust,High,Observed during shop floor round - logged via machine QR,TECH-02,Suresh Babu,2025-02-09,Closed,2025-03-09,Rectified during next available window,Production,Yes,/sites/PMSystem/Photos/MC-004_193.jpg
ABN-00132,QR Walk-by,,MC-005,Chip Conveyor CC-01,CELL-01,CNC Turning Line A,Machine Shop,Housekeeping / 5S issue,Medium,Observed during shop floor round - logged via machine QR,TECH-05,Prakash R,2025-02-25,Closed,2025-03-23,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-005_132.jpg
ABN-00082,QR Walk-by,,MC-031,Hyd Press HP-01,CELL-08,Press Shop,Fabrication,Wiring / cable damage,Low,Observed during shop floor round - logged via machine QR,TECH-10,Naveen Raj,2025-03-08,Closed,2025-03-14,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-031_82.jpg
ABN-00138,QR Walk-by,,MC-004,Bar Feeder BF-01,CELL-01,CNC Turning Line A,Machine Shop,Oil / coolant leak,Medium,Observed during shop floor round - logged via machine QR,TECH-04,Vignesh S,2025-03-11,Closed,2025-03-31,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-004_138.jpg
ABN-00025,PM Checklist,WO-00097,MC-011,Gear Hobber GH-02,CELL-03,Gear Cutting Cell,Machine Shop,Wiring / cable damage,Low,"Task 11: Hydraulic power pack pressure and leak check - outside standard (45 - 55 bar, no leak)",TECH-03,Mohammed Rafi,2025-03-14,Closed,2025-04-02,Corrective action completed and verified,Maintenance,No,/sites/PMSystem/Photos/MC-011_25.jpg
ABN-00174,QR Walk-by,,MC-017,Quench Oil Chiller CH-01,CELL-04,Heat Treatment,Heat Treat,Warning lamp / alarm active,Medium,Observed during shop floor round - logged via machine QR,TECH-06,Deepak Nair,2025-03-16,Closed,2025-04-17,Rectified during next available window,Maintenance,No,/sites/PMSystem/Photos/MC-017_174.jpg
ABN-00158,QR Walk-by,,MC-016,Tempering Furnace TF-01,CELL-04,Heat Treatment,Heat Treat,Housekeeping / 5S issue,Low,Observed during shop floor round - logged via machine QR,TECH-03,Mohammed Rafi,2025-03-17,Closed,2025-04-13,Rectified during next available window,Production,No,/sites/PMSystem/Photos/MC-016_158.jpg
ABN-00026,PM Checklist,WO-00098,MC-012,Gear Shaver GS-01,CELL-03,Gear Cutting Cell,Machine Shop,Oil / coolant leak,Low,"Task 2: Clean machine bed, swarf tray and coolant filter - outside standard (Filter clear)",TECH-02,Suresh Babu,2025-03-18,Closed,2025-04-17,Corrective action completed and verified,Safety,No,/sites/PMSystem/Photos/MC-012_26.jpg
