MonthKey,Year,MonthNo,CellID,CellName,Area,StdHours,UploadedBy,UploadDate,SourceFile
2024-09,2024,9,CELL-01,CNC Turning Line A,Machine Shop,1104.9,Production Planning,2024-09-30,Cell_Standard_Hours_2024_09.xlsx
2024-10,2024,10,CELL-01,CNC Turning Line A,Machine Shop,911.1,Production Planning,2024-10-31,Cell_Standard_Hours_2024_10.xlsx
2024-11,2024,11,CELL-01,CNC Turning Line A,Machine Shop,1099.4,Production Planning,2024-11-30,Cell_Standard_Hours_2024_11.xlsx
2024-12,2024,12,CELL-01,CNC Turning Line A,Machine Shop,1276.9,Production Planning,2024-12-31,Cell_Standard_Hours_2024_12.xlsx
2025-01,2025,1,CELL-01,CNC Turning Line A,Machine Shop,1263.1,Production Planning,2025-01-31,Cell_Standard_Hours_2025_01.xlsx
2025-02,2025,2,CELL-01,CNC Turning Line A,Machine Shop,1342.3,Production Planning,2025-02-28,Cell_Standard_Hours_2025_02.xlsx
2025-03,2025,3,CELL-01,CNC Turning Line A,Machine Shop,1160.9,Production Planning,2025-03-31,Cell_Standard_Hours_2025_03.xlsx
2025-04,2025,4,CELL-01,CNC Turning Line A,Machine Shop,979.7,Production Planning,2025-04-30,Cell_Standard_Hours_2025_04.xlsx
2025-05,2025,5,CELL-01,CNC Turning Line A,Machine Shop,1065.9,Production Planning,2025-05-31,Cell_Standard_Hours_2025_05.xlsx
2025-06,2025,6,CELL-01,CNC Turning Line A,Machine Shop,1136.5,Production Planning,2025-06-30,Cell_Standard_Hours_2025_06.xlsx
2025-07,2025,7,CELL-01,CNC Turning Line A,Machine Shop,1241.6,Production Planning,2025-07-31,Cell_Standard_Hours_2025_07.xlsx
2025-08,2025,8,CELL-01,CNC Turning Line A,Machine Shop,1080.7,Production Planning,2025-08-31,Cell_Standard_Hours_2025_08.xlsx
2025-09,2025,9,CELL-01,CNC Turning Line A,Machine Shop,1238.2,Production Planning,2025-09-30,Cell_Standard_Hours_2025_09.xlsx
2025-10,2025,10,CELL-01,CNC Turning Line A,Machine Shop,1075.1,Production Planning,2025-10-31,Cell_Standard_Hours_2025_10.xlsx
2025-11,2025,11,CELL-01,CNC Turning Line A,Machine Shop,1280.4,Production Planning,2025-11-30,Cell_Standard_Hours_2025_11.xlsx
