MonthKey,CellID,CellName,OpeningStdHrs,StdHoursAdded,ClosingStdHrs,PMIntervalStdHrs,PMTriggered,TriggerType,CarryOverAfterPM,MonthsSinceLastPM,Scenario
2024-09,CELL-01,CNC Turning Line A,3300.8,1104.9,4405.7,4000,Yes,Std Hours,405.7,0,Actual
2024-10,CELL-01,CNC Turning Line A,405.7,911.1,1316.8,4000,No,,1316.8,1,Actual
2024-11,CELL-01,CNC Turning Line A,1316.8,1099.4,2416.2,4000,No,,2416.2,2,Actual
2024-12,CELL-01,CNC Turning Line A,2416.2,1276.9,3693.1,4000,No,,3693.1,3,Actual
2025-01,CELL-01,CNC Turning Line A,3693.1,1263.1,4956.2,4000,Yes,Std Hours,956.2,4,Actual
2025-02,CELL-01,CNC Turning Line A,956.2,1342.3,2298.5,4000,No,,2298.5,1,Actual
2025-03,CELL-01,CNC Turning Line A,2298.5,1160.9,3459.4,4000,No,,3459.4,2,Actual
2025-04,CELL-01,CNC Turning Line A,3459.4,979.7,4439.1,4000,Yes,Std Hours,439.1,3,Actual
2025-05,CELL-01,CNC Turning Line A,439.1,1065.9,1505.0,4000,No,,1505.0,1,Actual
2025-06,CELL-01,CNC Turning Line A,1505.0,1136.5,2641.5,4000,No,,2641.5,2,Actual
2025-07,CELL-01,CNC Turning Line A,2641.5,1241.6,3883.1,4000,No,,3883.1,3,Actual
2025-08,CELL-01,CNC Turning Line A,3883.1,1080.7,4963.8,4000,Yes,Std Hours,963.8,4,Actual
2025-09,CELL-01,CNC Turning Line A,963.8,1238.2,2202.0,4000,No,,2202.0,1,Actual
2025-10,CELL-01,CNC Turning Line A,2202.0,1075.1,3277.1,4000,No,,3277.1,2,Actual
2025-11,CELL-01,CNC Turning Line A,3277.1,1280.4,4557.5,4000,Yes,Std Hours,557.5,3,Actual
2025-12,CELL-01,CNC Turning Line A,557.5,1171.3,1728.8,4000,No,,1728.8,1,Actual
2026-01,CELL-01,CNC Turning Line A,1728.8,1309.0,3037.8,4000,No,,3037.8,2,Actual
2026-02,CELL-01,CNC Turning Line A,3037.8,1394.6,4432.4,4000,Yes,Std Hours,432.4,3,Actual
2026-03,CELL-01,CNC Turning Line A,432.4,1200.4,1632.8,4000,No,,1632.8,1,Actual
2026-04,CELL-01,CNC Turning Line A,1632.8,1153.8,2786.6,4000,No,,2786.6,2,Actual
2026-05,CELL-01,CNC Turning Line A,2786.6,1374.8,4161.4,4000,Yes,Std Hours,161.4,3,Actual
2026-06,CELL-01,CNC Turning Line A,161.4,1250.4,1411.8,4000,No,,1411.8,1,Actual
2026-07,CELL-01,CNC Turning Line A,1411.8,1188.6,2600.4,4000,No,,2600.4,2,Actual
2026-08,CELL-01,CNC Turning Line A,2600.4,1346.9,3947.3,4000,No,,3947.3,3,Actual
2026-09,CELL-01,CNC Turning Line A,3947.3,1373.0,5320.3,4000,Yes,Std Hours,1320.3,4,Forecast
2026-10,CELL-01,CNC Turning Line A,1320.3,1042.4,2362.7,4000,No,,2362.7,1,Forecast
2026-11,CELL-01,CNC Turning Line A,2362.7,1271.3,3634.0,4000,No,,3634.0,2,Forecast
2026-12,CELL-01,CNC Turning Line A,3634.0,1271.3,4905.3,4000,Yes,Std Hours,905.3,3,Forecast
2027-01,CELL-01,CNC Turning Line A,905.3,1271.3,2176.6,4000,No,,2176.6,1,Forecast
2027-02,CELL-01,CNC Turning Line A,2176.6,1271.3,3447.9,4000,No,,3447.9,2,Forecast
2027-03,CELL-01,CNC Turning Line A,3447.9,1373.0,4820.9,4000,Yes,Std Hours,820.9,3,Forecast
2027-04,CELL-01,CNC Turning Line A,820.9,1042.4,1863.3,4000,No,,1863.3,1,Forecast
2027-05,CELL-01,CNC Turning Line A,1863.3,1271.3,3134.6,4000,No,,3134.6,2,Forecast
2027-06,CELL-01,CNC Turning Line A,3134.6,1271.3,4405.9,4000,Yes,Std Hours,405.9,3,Forecast
2027-07,CELL-01,CNC Turning Line A,405.9,1271.3,1677.2,4000,No,,1677.2,1,Forecast
2027-08,CELL-01,CNC Turning Line A,1677.2,1271.3,2948.5,4000,No,,2948.5,2,Forecast
2024-09,CELL-02,CNC Turning Line B,3164.4,937.7,4102.1,4000,Yes,Std Hours,102.1,0,Actual
2024-10,CELL-02,CNC Turning Line B,102.1,713.4,815.5,4000,No,,815.5,1,Actual
2024-11,CELL-02,CNC Turning Line B,815.5,1076.9,1892.4,4000,No,,1892.4,2,Actual
2024-12,CELL-02,CNC Turning Line B,1892.4,1010.6,2903.0,4000,No,,2903.0,3,Actual
2025-01,CELL-02,CNC Turning Line B,2903.0,1067.3,3970.3,4000,No,,3970.3,4,Actual
2025-02,CELL-02,CNC Turning Line B,3970.3,1046.8,5017.1,4000,Yes,Std Hours,1017.1,5,Actual
2025-03,CELL-02,CNC Turning Line B,1017.1,1073.7,2090.8,4000,No,,2090.8,1,Actual
2025-04,CELL-02,CNC Turning Line B,2090.8,914.6,3005.4,4000,No,,3005.4,2,Actual
2025-05,CELL-02,CNC Turning Line B,3005.4,952.1,3957.5,4000,No,,3957.5,3,Actual
2025-06,CELL-02,CNC Turning Line B,3957.5,1000.7,4958.2,4000,Yes,Std Hours,958.2,4,Actual
2025-07,CELL-02,CNC Turning Line B,958.2,1078.0,2036.2,4000,No,,2036.2,1,Actual
2025-08,CELL-02,CNC Turning Line B,2036.2,1020.5,3056.7,4000,No,,3056.7,2,Actual
2025-09,CELL-02,CNC Turning Line B,3056.7,1175.6,4232.3,4000,Yes,Std Hours,232.3,3,Actual
2025-10,CELL-02,CNC Turning Line B,232.3,828.6,1060.9,4000,No,,1060.9,1,Actual
2025-11,CELL-02,CNC Turning Line B,1060.9,1046.5,2107.4,4000,No,,2107.4,2,Actual
2025-12,CELL-02,CNC Turning Line B,2107.4,864.6,2972.0,4000,No,,2972.0,3,Actual
2026-01,CELL-02,CNC Turning Line B,2972.0,915.7,3887.7,4000,No,,3887.7,4,Actual
2026-02,CELL-02,CNC Turning Line B,3887.7,933.4,4821.1,4000,Yes,Std Hours,821.1,5,Actual
2026-03,CELL-02,CNC Turning Line B,821.1,945.9,1767.0,4000,No,,1767.0,1,Actual
2026-04,CELL-02,CNC Turning Line B,1767.0,753.6,2520.6,4000,No,,2520.6,2,Actual
2026-05,CELL-02,CNC Turning Line B,2520.6,883.0,3403.6,4000,No,,3403.6,3,Actual
2026-06,CELL-02,CNC Turning Line B,3403.6,932.9,4336.5,4000,Yes,Std Hours,336.5,4,Actual
2026-07,CELL-02,CNC Turning Line B,336.5,1033.3,1369.8,4000,No,,1369.8,1,Actual
2026-08,CELL-02,CNC Turning Line B,1369.8,865.7,2235.5,4000,No,,2235.5,2,Actual
2026-09,CELL-02,CNC Turning Line B,2235.5,1025.7,3261.2,4000,No,,3261.2,3,Forecast
2026-10,CELL-02,CNC Turning Line B,3261.2,778.8,4040.0,4000,Yes,Std Hours,40.0,4,Forecast
2026-11,CELL-02,CNC Turning Line B,40.0,949.7,989.7,4000,No,,989.7,1,Forecast
2026-12,CELL-02,CNC Turning Line B,989.7,949.7,1939.4,4000,No,,1939.4,2,Forecast
2027-01,CELL-02,CNC Turning Line B,1939.4,949.7,2889.1,4000,No,,2889.1,3,Forecast
2027-02,CELL-02,CNC Turning Line B,2889.1,949.7,3838.8,4000,No,,3838.8,4,Forecast
2027-03,CELL-02,CNC Turning Line B,3838.8,1025.7,4864.5,4000,Yes,Std Hours,864.5,5,Forecast
2027-04,CELL-02,CNC Turning Line B,864.5,778.8,1643.3,4000,No,,1643.3,1,Forecast
2027-05,CELL-02,CNC Turning Line B,1643.3,949.7,2593.0,4000,No,,2593.0,2,Forecast
2027-06,CELL-02,CNC Turning Line B,2593.0,949.7,3542.7,4000,No,,3542.7,3,Forecast
2027-07,CELL-02,CNC Turning Line B,3542.7,949.7,4492.4,4000,Yes,Std Hours,492.4,4,Forecast
2027-08,CELL-02,CNC Turning Line B,492.4,949.7,1442.1,4000,No,,1442.1,1,Forecast
2024-09,CELL-03,Gear Cutting Cell,2915.8,754.0,3669.8,4000,No,,3669.8,0,Actual
2024-10,CELL-03,Gear Cutting Cell,3669.8,583.2,4253.0,4000,Yes,Std Hours,253.0,1,Actual
2024-11,CELL-03,Gear Cutting Cell,253.0,854.9,1107.9,4000,No,,1107.9,1,Actual
2024-12,CELL-03,Gear Cutting Cell,1107.9,794.3,1902.2,4000,No,,1902.2,2,Actual
2025-01,CELL-03,Gear Cutting Cell,1902.2,786.9,2689.1,4000,No,,2689.1,3,Actual
2025-02,CELL-03,Gear Cutting Cell,2689.1,694.1,3383.2,4000,No,,3383.2,4,Actual
2025-03,CELL-03,Gear Cutting Cell,3383.2,879.7,4262.9,4000,Yes,Std Hours,262.9,5,Actual
2025-04,CELL-03,Gear Cutting Cell,262.9,569.2,832.1,4000,No,,832.1,1,Actual
2025-05,CELL-03,Gear Cutting Cell,832.1,741.3,1573.4,4000,No,,1573.4,2,Actual
2025-06,CELL-03,Gear Cutting Cell,1573.4,873.4,2446.8,4000,No,,2446.8,3,Actual
2025-07,CELL-03,Gear Cutting Cell,2446.8,799.2,3246.0,4000,No,,3246.0,4,Actual
2025-08,CELL-03,Gear Cutting Cell,3246.0,782.2,4028.2,4000,Yes,Std Hours,28.2,5,Actual
2025-09,CELL-03,Gear Cutting Cell,28.2,875.6,903.8,4000,No,,903.8,1,Actual
2025-10,CELL-03,Gear Cutting Cell,903.8,693.6,1597.4,4000,No,,1597.4,2,Actual
2025-11,CELL-03,Gear Cutting Cell,1597.4,832.4,2429.8,4000,No,,2429.8,3,Actual
2025-12,CELL-03,Gear Cutting Cell,2429.8,714.9,3144.7,4000,No,,3144.7,4,Actual
2026-01,CELL-03,Gear Cutting Cell,3144.7,673.0,3817.7,4000,No,,3817.7,5,Actual
2026-02,CELL-03,Gear Cutting Cell,3817.7,735.4,4553.1,4000,Yes,Std Hours,553.1,6,Actual
2026-03,CELL-03,Gear Cutting Cell,553.1,783.9,1337.0,4000,No,,1337.0,1,Actual
2026-04,CELL-03,Gear Cutting Cell,1337.0,585.8,1922.8,4000,No,,1922.8,2,Actual
2026-05,CELL-03,Gear Cutting Cell,1922.8,874.7,2797.5,4000,No,,2797.5,3,Actual
2026-06,CELL-03,Gear Cutting Cell,2797.5,861.2,3658.7,4000,No,,3658.7,4,Actual
2026-07,CELL-03,Gear Cutting Cell,3658.7,739.5,4398.2,4000,Yes,Std Hours,398.2,5,Actual
2026-08,CELL-03,Gear Cutting Cell,398.2,736.1,1134.3,4000,No,,1134.3,1,Actual
2026-09,CELL-03,Gear Cutting Cell,1134.3,891.1,2025.4,4000,No,,2025.4,2,Forecast
2026-10,CELL-03,Gear Cutting Cell,2025.4,676.6,2702.0,4000,No,,2702.0,3,Forecast
2026-11,CELL-03,Gear Cutting Cell,2702.0,825.1,3527.1,4000,No,,3527.1,4,Forecast
2026-12,CELL-03,Gear Cutting Cell,3527.1,825.1,4352.2,4000,Yes,Std Hours,352.2,5,Forecast
2027-01,CELL-03,Gear Cutting Cell,352.2,825.1,1177.3,4000,No,,1177.3,1,Forecast
2027-02,CELL-03,Gear Cutting Cell,1177.3,825.1,2002.4,4000,No,,2002.4,2,Forecast
2027-03,CELL-03,Gear Cutting Cell,2002.4,891.1,2893.5,4000,No,,2893.5,3,Forecast
2027-04,CELL-03,Gear Cutting Cell,2893.5,676.6,3570.1,4000,No,,3570.1,4,Forecast
2027-05,CELL-03,Gear Cutting Cell,3570.1,825.1,4395.2,4000,Yes,Std Hours,395.2,5,Forecast
2027-06,CELL-03,Gear Cutting Cell,395.2,825.1,1220.3,4000,No,,1220.3,1,Forecast
2027-07,CELL-03,Gear Cutting Cell,1220.3,825.1,2045.4,4000,No,,2045.4,2,Forecast
2027-08,CELL-03,Gear Cutting Cell,2045.4,825.1,2870.5,4000,No,,2870.5,3,Forecast
2024-09,CELL-04,Heat Treatment,732.2,1687.5,2419.7,4000,No,,2419.7,0,Actual
2024-10,CELL-04,Heat Treatment,2419.7,1136.5,3556.2,4000,No,,3556.2,1,Actual
2024-11,CELL-04,Heat Treatment,3556.2,1311.9,4868.1,4000,Yes,Std Hours,868.1,2,Actual
2024-12,CELL-04,Heat Treatment,868.1,1306.7,2174.8,4000,No,,2174.8,1,Actual
2025-01,CELL-04,Heat Treatment,2174.8,1432.8,3607.6,4000,No,,3607.6,2,Actual
2025-02,CELL-04,Heat Treatment,3607.6,1317.1,4924.7,4000,Yes,Std Hours,924.7,3,Actual
2025-03,CELL-04,Heat Treatment,924.7,1562.2,2486.9,4000,No,,2486.9,1,Actual
2025-04,CELL-04,Heat Treatment,2486.9,1289.7,3776.6,4000,No,,3776.6,2,Actual
2025-05,CELL-04,Heat Treatment,3776.6,1377.4,5154.0,4000,Yes,Std Hours,1154.0,3,Actual
2025-06,CELL-04,Heat Treatment,1154.0,1307.9,2461.9,4000,No,,2461.9,1,Actual
2025-07,CELL-04,Heat Treatment,2461.9,1619.8,4081.7,4000,Yes,Std Hours,81.7,2,Actual
2025-08,CELL-04,Heat Treatment,81.7,1427.7,1509.4,4000,No,,1509.4,1,Actual
2025-09,CELL-04,Heat Treatment,1509.4,1363.7,2873.1,4000,No,,2873.1,2,Actual
2025-10,CELL-04,Heat Treatment,2873.1,1022.7,3895.8,4000,No,,3895.8,3,Actual
2025-11,CELL-04,Heat Treatment,3895.8,1274.1,5169.9,4000,Yes,Std Hours,1169.9,4,Actual
2025-12,CELL-04,Heat Treatment,1169.9,1483.8,2653.7,4000,No,,2653.7,1,Actual
2026-01,CELL-04,Heat Treatment,2653.7,1552.2,4205.9,4000,Yes,Std Hours,205.9,2,Actual
2026-02,CELL-04,Heat Treatment,205.9,1405.8,1611.7,4000,No,,1611.7,1,Actual
2026-03,CELL-04,Heat Treatment,1611.7,1364.5,2976.2,4000,No,,2976.2,2,Actual
2026-04,CELL-04,Heat Treatment,2976.2,1142.9,4119.1,4000,Yes,Std Hours,119.1,3,Actual
2026-05,CELL-04,Heat Treatment,119.1,1644.3,1763.4,4000,No,,1763.4,1,Actual
2026-06,CELL-04,Heat Treatment,1763.4,1457.7,3221.1,4000,No,,3221.1,2,Actual
2026-07,CELL-04,Heat Treatment,3221.1,1639.2,4860.3,4000,Yes,Std Hours,860.3,3,Actual
2026-08,CELL-04,Heat Treatment,860.3,1442.4,2302.7,4000,No,,2302.7,1,Actual
2026-09,CELL-04,Heat Treatment,2302.7,1706.8,4009.5,4000,Yes,Std Hours,9.5,2,Forecast
2026-10,CELL-04,Heat Treatment,9.5,1295.9,1305.4,4000,No,,1305.4,1,Forecast
2026-11,CELL-04,Heat Treatment,1305.4,1580.4,2885.8,4000,No,,2885.8,2,Forecast
