Abn_ID,Logged_DateTime,Machine_ID,Cell_ID,Logged_By,Category,Description,Severity,Photo_Link,Immediate_Action,Responsibility,Target_Date,Status,Closed_Date,Closure_Remarks,Converted_To_WO
ABN-8000,2026-05-30T20:00:00,MC-05-020,CELL-05,TECH-04,Air Leak,Continuous air leak at FRL bowl,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-05-020_0.jpg,"Temporary correction done, area cordoned",TECH-05,2026-06-18,Closed,2026-06-09,Permanent fix done and verified,No
ABN-8001,2026-03-25T21:00:00,MC-06-024,CELL-06,TECH-02,Overheating,"Panel exhaust fan not running, panel warm",Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-06-024_1.jpg,"Temporary correction done, area cordoned",TECH-02,2026-03-31,Closed,2026-03-27,Permanent fix done and verified,No
ABN-8002,2026-06-16T17:00:00,MC-05-017,CELL-05,TECH-01,Air Leak,Dust accumulation inside control panel,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-05-017_2.jpg,"Temporary correction done, area cordoned",TECH-05,2026-06-20,Closed,2026-07-05,Permanent fix done and verified,Yes
ABN-8003,2026-06-04T17:00:00,MC-01-003,CELL-01,TECH-01,Overheating,Loose cable dressing near walkway,High,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-01-003_3.jpg,"Temporary correction done, area cordoned",TECH-04,2026-06-18,Closed,2026-06-07,Permanent fix done and verified,No
ABN-8004,2026-06-04T19:00:00,MC-02-008,CELL-02,TECH-06,Quality,"Panel exhaust fan not running, panel warm",Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-02-008_4.jpg,"Temporary correction done, area cordoned",TECH-02,2026-06-15,Closed,2026-06-21,Permanent fix done and verified,No
ABN-8005,2025-11-12T11:00:00,MC-08-030,CELL-08,TECH-03,Oil Leak,Guard interlock bypassed with tape,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-08-030_5.jpg,"Temporary correction done, area cordoned",TECH-06,2025-11-15,Closed,2025-12-02,Permanent fix done and verified,Yes
ABN-8006,2025-10-04T13:00:00,MC-05-017,CELL-05,TECH-03,Overheating,Excess vibration at vibrator motor mount,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-05-017_6.jpg,"Temporary correction done, area cordoned",TECH-01,2025-10-11,In Progress,,,No
ABN-8007,2026-07-27T11:00:00,MC-06-021,CELL-06,TECH-05,Vibration,Knocking sound from press flywheel,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-06-021_7.jpg,"Temporary correction done, area cordoned",TECH-06,2026-08-11,Closed,2026-08-04,Permanent fix done and verified,No
ABN-8008,2026-07-13T14:00:00,MC-05-018,CELL-05,TECH-04,Abnormal Noise,Knocking sound from press flywheel,High,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-05-018_8.jpg,"Temporary correction done, area cordoned",TECH-05,2026-07-27,Closed,2026-08-06,Permanent fix done and verified,No
ABN-8009,2025-12-10T20:00:00,MC-06-024,CELL-06,TECH-02,Contamination,Continuous air leak at FRL bowl,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-06-024_9.jpg,"Temporary correction done, area cordoned",TECH-01,2025-12-19,Closed,2025-12-28,Permanent fix done and verified,No
ABN-8010,2026-03-23T19:00:00,MC-07-026,CELL-07,TECH-06,Safety,Continuous air leak at FRL bowl,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-07-026_10.jpg,"Temporary correction done, area cordoned",TECH-04,2026-03-26,In Progress,,,Yes
ABN-8011,2025-12-14T14:00:00,MC-07-027,CELL-07,TECH-01,Abnormal Noise,Oil seepage under gearbox,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-07-027_11.jpg,"Temporary correction done, area cordoned",TECH-03,2025-12-19,Closed,2026-01-04,Permanent fix done and verified,Yes
ABN-8012,2026-04-15T21:00:00,MC-06-024,CELL-06,TECH-05,Abnormal Noise,Guard interlock bypassed with tape,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-06-024_12.jpg,"Temporary correction done, area cordoned",TECH-02,2026-05-03,Closed,2026-05-01,Permanent fix done and verified,Yes
ABN-8013,2026-06-23T11:00:00,MC-02-007,CELL-02,TECH-05,5S / Housekeeping,Oil seepage under gearbox,High,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-02-007_13.jpg,"Temporary correction done, area cordoned",TECH-05,2026-07-01,In Progress,,,Yes
ABN-8014,2026-01-31T17:00:00,MC-03-012,CELL-03,TECH-03,Overheating,Excess vibration at vibrator motor mount,High,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-03-012_14.jpg,"Temporary correction done, area cordoned",TECH-06,2026-02-15,Closed,2026-02-14,Permanent fix done and verified,No
ABN-8015,2025-10-08T18:00:00,MC-05-017,CELL-05,TECH-05,Abnormal Noise,Loose cable dressing near walkway,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-05-017_15.jpg,"Temporary correction done, area cordoned",TECH-05,2025-10-22,Open,,,No
ABN-8016,2026-02-19T10:00:00,MC-07-027,CELL-07,TECH-04,Safety,Knocking sound from press flywheel,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-07-027_16.jpg,"Temporary correction done, area cordoned",TECH-02,2026-03-07,Closed,2026-03-09,Permanent fix done and verified,Yes
ABN-8017,2025-11-07T15:00:00,MC-05-018,CELL-05,TECH-05,Abnormal Noise,Loose cable dressing near walkway,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-05-018_17.jpg,"Temporary correction done, area cordoned",TECH-05,2025-11-18,Open,,,No
ABN-8018,2026-07-16T14:00:00,MC-04-013,CELL-04,TECH-04,Contamination,Guard interlock bypassed with tape,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-04-013_18.jpg,"Temporary correction done, area cordoned",TECH-04,2026-07-22,In Progress,,,No
ABN-8019,2026-04-14T17:00:00,MC-01-003,CELL-01,TECH-06,Oil Leak,Excess vibration at vibrator motor mount,Low,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-01-003_19.jpg,"Temporary correction done, area cordoned",TECH-04,2026-04-28,Closed,2026-05-02,Permanent fix done and verified,Yes
ABN-8020,2026-02-12T10:00:00,MC-06-023,CELL-06,TECH-06,Vibration,Sand carryover on conveyor edge,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-06-023_20.jpg,"Temporary correction done, area cordoned",TECH-05,2026-02-20,Closed,2026-03-01,Permanent fix done and verified,No
ABN-8021,2026-01-20T21:00:00,MC-03-012,CELL-03,TECH-06,Oil Leak,Dust accumulation inside control panel,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-03-012_21.jpg,"Temporary correction done, area cordoned",TECH-06,2026-01-29,Closed,2026-01-29,Permanent fix done and verified,No
ABN-8022,2026-02-13T10:00:00,MC-08-028,CELL-08,TECH-05,Vibration,Continuous air leak at FRL bowl,Medium,https://epqpl.sharepoint.com/sites/Maintenance/Abnormality_Photos/MC-08-028_22.jpg,"Temporary correction done, area cordoned",TECH-01,2026-02-19,In Progress,,,Yes
