BD_ID,Reported_DateTime,Machine_ID,Cell_ID,Reported_By_Tech_ID,Shift,Breakdown_Type,Symptom,Root_Cause,Action_Taken,Response_DateTime,Repair_Start,Repair_End,Response_Time_Min,MTTR_Min,Production_Loss_Min,Spare_Used,Status,Recurrence_Flag,Linked_PM_WO,Remarks
BD-3000,2026-04-17T07:15:00,MC-01-002,CELL-01,TECH-02,C (22:00-06:00),Electrical,Machine not starting,Seal kit damaged,Replaced / rectified and trial taken,2026-04-17T07:20:00,2026-04-17T07:34:00,2026-04-17T11:38:00,5,244,263,No,Closed,No,,
BD-3001,2026-06-22T16:30:00,MC-02-008,CELL-02,TECH-06,C (22:00-06:00),Electrical,Product jam at station,Cooling fan choked,Replaced / rectified and trial taken,2026-06-22T16:48:00,2026-06-22T16:59:00,2026-06-22T18:32:00,18,93,122,No,Closed,Yes,,
BD-3002,2026-06-30T11:45:00,MC-05-018,CELL-05,TECH-03,C (22:00-06:00),Utility,Product jam at station,Steam trap blocked,Replaced / rectified and trial taken,2026-06-30T12:23:00,2026-06-30T12:40:00,2026-06-30T13:24:00,38,44,99,No,Closed,No,,
BD-3003,2025-11-16T15:45:00,MC-04-014,CELL-04,TECH-02,A (06:00-14:00),Pneumatic,Air leak at cylinder,Solenoid valve stuck,Replaced / rectified and trial taken,2025-11-16T15:59:00,2025-11-16T16:18:00,2025-11-16T20:40:00,14,262,295,Yes,Closed,No,,
BD-3004,2026-06-13T22:15:00,MC-04-014,CELL-04,TECH-02,B (14:00-22:00),Utility,Abnormal noise from drive,Solenoid valve stuck,Replaced / rectified and trial taken,2026-06-13T22:42:00,2026-06-13T22:51:00,2026-06-14T01:21:00,27,150,186,No,Closed,Yes,,
BD-3005,2025-12-07T07:30:00,MC-05-018,CELL-05,TECH-02,C (22:00-06:00),Utility,Steam pressure not building,Sensor misaligned,Replaced / rectified and trial taken,2025-12-07T07:57:00,2025-12-07T08:00:00,2025-12-07T08:57:00,27,57,87,No,Closed,No,,
BD-3006,2026-02-18T15:00:00,MC-08-028,CELL-08,TECH-06,B (14:00-22:00),Electrical,HMI communication lost,Sensor misaligned,Replaced / rectified and trial taken,2026-02-18T15:16:00,2026-02-18T15:24:00,2026-02-18T16:44:00,16,80,104,No,Closed,No,,
BD-3007,2026-02-12T15:45:00,MC-05-018,CELL-05,TECH-03,B (14:00-22:00),Pneumatic,Steam pressure not building,Solenoid valve stuck,Replaced / rectified and trial taken,2026-02-12T16:17:00,2026-02-12T16:36:00,2026-02-12T19:59:00,32,203,254,No,Closed,Yes,,
BD-3008,2026-04-29T16:15:00,MC-07-026,CELL-07,TECH-01,C (22:00-06:00),Electrical,Air leak at cylinder,Contactor coil burnt,Replaced / rectified and trial taken,2026-04-29T16:41:00,2026-04-29T16:53:00,2026-04-29T20:44:00,26,231,269,No,Closed,No,,
BD-3009,2025-11-18T12:30:00,MC-03-010,CELL-03,TECH-02,B (14:00-22:00),Instrumentation,Cycle time increased,Cooling fan choked,Replaced / rectified and trial taken,2025-11-18T12:47:00,2025-11-18T13:01:00,2025-11-18T18:12:00,17,311,342,No,Closed,No,,
BD-3010,2025-11-26T17:15:00,MC-04-015,CELL-04,TECH-02,C (22:00-06:00),Utility,Machine not starting,Steam trap blocked,Replaced / rectified and trial taken,2025-11-26T17:26:00,2025-11-26T17:45:00,2025-11-26T22:15:00,11,270,300,Yes,Closed,Yes,,
BD-3011,2026-08-09T07:00:00,MC-07-027,CELL-07,TECH-01,C (22:00-06:00),Electrical,Machine not starting,Sensor misaligned,Replaced / rectified and trial taken,2026-08-09T07:29:00,2026-08-09T07:35:00,2026-08-09T09:53:00,29,138,173,No,Closed,No,,
BD-3012,2025-10-01T21:45:00,MC-03-012,CELL-03,TECH-05,B (14:00-22:00),Mechanical,Machine not starting,Steam trap blocked,Replaced / rectified and trial taken,2025-10-01T21:49:00,2025-10-01T21:51:00,2025-10-02T02:43:00,4,292,298,No,Closed,No,,
BD-3013,2026-01-25T06:45:00,MC-05-018,CELL-05,TECH-05,A (06:00-14:00),Electrical,Sensor not detecting,Cable continuity broken,Replaced / rectified and trial taken,2026-01-25T06:59:00,2026-01-25T07:04:00,2026-01-25T08:13:00,14,69,88,No,Closed,No,,
BD-3014,2026-03-01T14:45:00,MC-07-027,CELL-07,TECH-04,C (22:00-06:00),Electrical,Sensor not detecting,Cooling fan choked,Replaced / rectified and trial taken,2026-03-01T14:53:00,2026-03-01T15:06:00,2026-03-01T18:53:00,8,227,248,No,Closed,Yes,,
BD-3015,2026-07-30T07:00:00,MC-06-021,CELL-06,TECH-05,B (14:00-22:00),Mechanical,Machine not starting,Seal kit damaged,Replaced / rectified and trial taken,2026-07-30T07:28:00,2026-07-30T07:42:00,2026-07-30T11:15:00,28,213,255,Yes,Closed,No,,
BD-3016,2026-04-11T16:00:00,MC-08-028,CELL-08,TECH-02,C (22:00-06:00),Instrumentation,Panel tripping on overload,Cooling fan choked,Replaced / rectified and trial taken,2026-04-11T16:36:00,2026-04-11T16:39:00,2026-04-11T18:56:00,36,137,176,Yes,Closed,Yes,,
BD-3017,2026-01-22T07:15:00,MC-06-022,CELL-06,TECH-05,A (06:00-14:00),Utility,Product jam at station,Bearing worn out,Replaced / rectified and trial taken,2026-01-22T07:38:00,2026-01-22T07:40:00,2026-01-22T09:46:00,23,126,151,No,Closed,No,,
BD-3018,2026-01-02T18:30:00,MC-05-019,CELL-05,TECH-05,C (22:00-06:00),Pneumatic,Machine not starting,Bearing worn out,Replaced / rectified and trial taken,2026-01-02T18:57:00,2026-01-02T19:03:00,2026-01-02T20:03:00,27,60,93,No,Closed,No,,
BD-3019,2025-10-09T16:45:00,MC-07-027,CELL-07,TECH-04,B (14:00-22:00),Electrical,Cycle time increased,Steam trap blocked,Replaced / rectified and trial taken,2025-10-09T17:08:00,2025-10-09T17:10:00,2025-10-09T19:49:00,23,159,184,No,Closed,No,,
BD-3020,2026-08-15T18:00:00,MC-02-006,CELL-02,TECH-01,B (14:00-22:00),Electrical,Product jam at station,Seal kit damaged,Replaced / rectified and trial taken,2026-08-15T18:21:00,2026-08-15T18:30:00,2026-08-15T19:27:00,21,57,87,No,Closed,No,,
BD-3021,2026-03-04T09:00:00,MC-03-011,CELL-03,TECH-03,B (14:00-22:00),Mechanical,Air leak at cylinder,Bearing worn out,Replaced / rectified and trial taken,2026-03-04T09:03:00,2026-03-04T09:14:00,2026-03-04T13:21:00,3,247,261,Yes,Closed,No,,
BD-3022,2026-06-13T22:45:00,MC-04-015,CELL-04,TECH-03,C (22:00-06:00),Mechanical,HMI communication lost,Cable continuity broken,Replaced / rectified and trial taken,2026-06-13T22:54:00,2026-06-13T22:56:00,2026-06-14T00:01:00,9,65,76,No,Closed,No,,
BD-3023,2026-01-28T19:45:00,MC-01-001,CELL-01,TECH-05,C (22:00-06:00),Electrical,Product jam at station,Seal kit damaged,Replaced / rectified and trial taken,2026-01-28T19:53:00,2026-01-28T20:12:00,2026-01-28T22:36:00,8,144,171,Yes,Closed,No,,
BD-3024,2026-01-16T21:15:00,MC-03-010,CELL-03,TECH-03,B (14:00-22:00),Pneumatic,Panel tripping on overload,Bearing worn out,Replaced / rectified and trial taken,2026-01-16T21:22:00,2026-01-16T21:29:00,2026-01-17T01:31:00,7,242,256,No,Closed,No,,
BD-3025,2026-07-18T21:15:00,MC-02-008,CELL-02,TECH-03,A (06:00-14:00),Hydraulic,Cycle time increased,Cable continuity broken,Replaced / rectified and trial taken,2026-07-18T21:47:00,2026-07-18T21:52:00,2026-07-18T23:21:00,32,89,126,No,Closed,No,,
BD-3026,2026-02-19T19:15:00,MC-04-015,CELL-04,TECH-06,A (06:00-14:00),Hydraulic,Cycle time increased,Seal kit damaged,Replaced / rectified and trial taken,2026-02-19T19:37:00,2026-02-19T19:49:00,2026-02-20T01:17:00,22,328,362,No,Closed,No,,
BD-3027,2026-08-22T21:15:00,MC-03-010,CELL-03,TECH-04,B (14:00-22:00),Mechanical,HMI communication lost,Sensor misaligned,Replaced / rectified and trial taken,2026-08-22T21:38:00,2026-08-22T21:52:00,2026-08-23T00:35:00,23,163,200,No,Closed,No,,
BD-3028,2026-06-09T06:45:00,MC-06-022,CELL-06,TECH-06,A (06:00-14:00),Hydraulic,Panel tripping on overload,Seal kit damaged,Replaced / rectified and trial taken,2026-06-09T07:01:00,2026-06-09T07:17:00,2026-06-09T10:06:00,16,169,201,No,Closed,No,,
BD-3029,2026-01-08T10:45:00,MC-02-008,CELL-02,TECH-05,B (14:00-22:00),Instrumentation,Product jam at station,Steam trap blocked,Replaced / rectified and trial taken,2026-01-08T11:12:00,2026-01-08T11:16:00,2026-01-08T15:25:00,27,249,280,No,Closed,No,,
BD-3030,2025-09-19T17:00:00,MC-05-018,CELL-05,TECH-02,C (22:00-06:00),Instrumentation,Machine not starting,Cable continuity broken,Replaced / rectified and trial taken,2025-09-19T17:09:00,2025-09-19T17:18:00,2025-09-19T20:39:00,9,201,219,No,Closed,No,,
BD-3031,2026-02-17T19:00:00,MC-07-025,CELL-07,TECH-02,C (22:00-06:00),Utility,Steam pressure not building,Steam trap blocked,Replaced / rectified and trial taken,2026-02-17T19:03:00,2026-02-17T19:08:00,2026-02-17T21:40:00,3,152,160,No,Closed,No,,
BD-3032,2026-03-11T18:45:00,MC-04-015,CELL-04,TECH-03,A (06:00-14:00),Hydraulic,Abnormal noise from drive,Cooling fan choked,Replaced / rectified and trial taken,2026-03-11T19:25:00,2026-03-11T19:43:00,2026-03-11T21:20:00,40,97,155,No,Closed,Yes,,
BD-3033,2025-11-12T17:30:00,MC-01-004,CELL-01,TECH-05,B (14:00-22:00),Pneumatic,Panel tripping on overload,Bearing worn out,Replaced / rectified and trial taken,2025-11-12T17:54:00,2025-11-12T18:10:00,2025-11-12T20:15:00,24,125,165,No,Closed,No,,
BD-3034,2025-10-05T15:00:00,MC-03-011,CELL-03,TECH-06,A (06:00-14:00),Utility,Air leak at cylinder,Sensor misaligned,Replaced / rectified and trial taken,2025-10-05T15:10:00,2025-10-05T15:12:00,2025-10-05T18:27:00,10,195,207,No,Closed,No,,
BD-3035,2025-11-21T16:45:00,MC-05-018,CELL-05,TECH-06,A (06:00-14:00),Electrical,Product jam at station,Loose terminal connection,Replaced / rectified and trial taken,2025-11-21T17:17:00,2025-11-21T17:26:00,2025-11-21T21:13:00,32,227,268,Yes,Closed,No,,
BD-3036,2026-07-01T19:45:00,MC-04-015,CELL-04,TECH-03,C (22:00-06:00),Mechanical,HMI communication lost,Bearing worn out,Replaced / rectified and trial taken,2026-07-01T19:48:00,2026-07-01T19:56:00,2026-07-01T22:01:00,3,125,136,No,Closed,No,,
BD-3037,2026-02-14T12:45:00,MC-03-012,CELL-03,TECH-05,C (22:00-06:00),Pneumatic,HMI communication lost,Loose terminal connection,Replaced / rectified and trial taken,2026-02-14T12:55:00,2026-02-14T13:05:00,2026-02-14T17:35:00,10,270,290,No,Closed,No,,
BD-3038,2025-10-29T17:30:00,MC-05-019,CELL-05,TECH-05,C (22:00-06:00),Mechanical,Air leak at cylinder,Belt slipping,Replaced / rectified and trial taken,2025-10-29T18:02:00,2025-10-29T18:09:00,2025-10-29T21:01:00,32,172,211,Yes,Closed,No,,
