Response_ID,Submitted_DateTime,WO_No,Machine_ID,Cell_ID,Checklist_ID,Item_No,Check_Point,Result,Measured_Value,Observation,Photo_Link,Action_Taken,Tech_ID,Follow_Up_Required,Follow_Up_WO
CR-90001,2025-09-10T08:57:00,WO-1001,MC-01-001,CELL-01,CL-PRESS,1,Slide / ram guideway lubrication,OK,,Within standard,,No action,TECH-01,No,
CR-90002,2025-09-10T08:57:00,WO-1001,MC-01-001,CELL-01,CL-PRESS,2,Clutch & brake air pressure,OK,30.2,Within standard,,No action,TECH-01,No,
CR-90003,2025-09-10T08:57:00,WO-1001,MC-01-001,CELL-01,CL-PRESS,3,Die clamping bolt torque,OK,15.4,Within standard,,No action,TECH-01,No,
CR-90004,2025-09-10T08:57:00,WO-1001,MC-01-001,CELL-01,CL-PRESS,4,Safety light curtain function,OK,,Within standard,,No action,TECH-01,No,
CR-90005,2025-09-10T08:57:00,WO-1001,MC-01-001,CELL-01,CL-PRESS,5,Flywheel bearing temperature,OK,39.7,Within standard,,No action,TECH-01,No,
CR-90006,2025-09-10T08:57:00,WO-1001,MC-01-001,CELL-01,CL-PRESS,6,Oil level in gearbox,OK,,Within standard,,No action,TECH-01,No,
CR-90007,2025-09-10T08:57:00,WO-1001,MC-01-001,CELL-01,CL-PRESS,7,Air line FRL water drain,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-01-001_7.jpg,Adjusted and re-verified,TECH-01,Yes,
CR-90008,2025-09-10T08:57:00,WO-1001,MC-01-001,CELL-01,CL-PRESS,8,Emergency stop function,OK,,Within standard,,No action,TECH-01,No,
CR-90009,2025-09-10T10:18:00,WO-1001,MC-01-002,CELL-01,CL-FEED,1,Feed roller wear,OK,,Within standard,,No action,TECH-01,No,
CR-90010,2025-09-10T10:18:00,WO-1001,MC-01-002,CELL-01,CL-FEED,2,Servo backlash check,OK,42.1,Within standard,,No action,TECH-01,No,
CR-90011,2025-09-10T10:18:00,WO-1001,MC-01-002,CELL-01,CL-FEED,3,Strip guide alignment,OK,28.4,Within standard,,No action,TECH-01,No,
CR-90012,2025-09-10T10:18:00,WO-1001,MC-01-002,CELL-01,CL-FEED,4,Lubrication unit level,OK,,Within standard,,No action,TECH-01,No,
CR-90013,2025-09-10T11:38:00,WO-1001,MC-01-003,CELL-01,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-05,No,
CR-90014,2025-09-10T11:38:00,WO-1001,MC-01-003,CELL-01,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-05,No,
CR-90015,2025-09-10T11:38:00,WO-1001,MC-01-003,CELL-01,CL-GEN,3,Guard and interlock function,OK,,Within standard,,No action,TECH-05,No,
CR-90016,2025-09-10T11:38:00,WO-1001,MC-01-003,CELL-01,CL-GEN,4,Lubrication as per chart,OK,,Within standard,,No action,TECH-05,No,
CR-90017,2025-09-10T11:38:00,WO-1001,MC-01-003,CELL-01,CL-GEN,5,Electrical panel inspection,OK,,Within standard,,No action,TECH-05,No,
CR-90018,2025-09-10T11:38:00,WO-1001,MC-01-003,CELL-01,CL-GEN,6,Abnormal noise / vibration,OK,,Within standard,,No action,TECH-05,No,
CR-90019,2025-09-10T12:24:00,WO-1001,MC-01-004,CELL-01,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-04,No,
CR-90020,2025-09-10T12:24:00,WO-1001,MC-01-004,CELL-01,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-04,No,
CR-90021,2025-09-10T12:24:00,WO-1001,MC-01-004,CELL-01,CL-GEN,3,Guard and interlock function,OK,,Within standard,,No action,TECH-04,No,
CR-90022,2025-09-10T12:24:00,WO-1001,MC-01-004,CELL-01,CL-GEN,4,Lubrication as per chart,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-01-004_4.jpg,Adjusted and re-verified,TECH-04,No,
CR-90023,2025-09-10T12:24:00,WO-1001,MC-01-004,CELL-01,CL-GEN,5,Electrical panel inspection,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-01-004_5.jpg,Adjusted and re-verified,TECH-04,No,
CR-90024,2025-09-10T12:24:00,WO-1001,MC-01-004,CELL-01,CL-GEN,6,Abnormal noise / vibration,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-01-004_6.jpg,Adjusted and re-verified,TECH-04,No,
CR-90025,2025-09-25T09:10:00,WO-1002,MC-02-005,CELL-02,CL-WELD,1,Electrode tip dressing condition,OK,,Within standard,,No action,TECH-04,No,
CR-90026,2025-09-25T09:10:00,WO-1002,MC-02-005,CELL-02,CL-WELD,2,Weld current calibration,OK,19.9,Within standard,,No action,TECH-04,No,
CR-90027,2025-09-25T09:10:00,WO-1002,MC-02-005,CELL-02,CL-WELD,3,Cooling water flow rate,OK,32.9,Within standard,,No action,TECH-04,No,
CR-90028,2025-09-25T09:10:00,WO-1002,MC-02-005,CELL-02,CL-WELD,4,Transformer terminal tightness,OK,,Within standard,,No action,TECH-04,No,
CR-90029,2025-09-25T09:10:00,WO-1002,MC-02-005,CELL-02,CL-WELD,5,Pneumatic cylinder leak check,OK,,Within standard,,No action,TECH-04,No,
CR-90030,2025-09-25T09:10:00,WO-1002,MC-02-005,CELL-02,CL-WELD,6,Earth continuity,OK,9.2,Within standard,,No action,TECH-04,No,
CR-90031,2025-09-25T10:27:00,WO-1002,MC-02-006,CELL-02,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-02,No,
CR-90032,2025-09-25T10:27:00,WO-1002,MC-02-006,CELL-02,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-02,No,
CR-90033,2025-09-25T10:27:00,WO-1002,MC-02-006,CELL-02,CL-GEN,3,Guard and interlock function,OK,,Within standard,,No action,TECH-02,No,
CR-90034,2025-09-25T10:27:00,WO-1002,MC-02-006,CELL-02,CL-GEN,4,Lubrication as per chart,OK,,Within standard,,No action,TECH-02,No,
CR-90035,2025-09-25T10:27:00,WO-1002,MC-02-006,CELL-02,CL-GEN,5,Electrical panel inspection,OK,,Within standard,,No action,TECH-02,No,
CR-90036,2025-09-25T10:27:00,WO-1002,MC-02-006,CELL-02,CL-GEN,6,Abnormal noise / vibration,OK,,Within standard,,No action,TECH-02,No,
CR-90037,2025-09-25T10:43:00,WO-1002,MC-02-007,CELL-02,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-04,No,
CR-90038,2025-09-25T10:43:00,WO-1002,MC-02-007,CELL-02,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-04,No,
CR-90039,2025-09-25T10:43:00,WO-1002,MC-02-007,CELL-02,CL-GEN,3,Guard and interlock function,OK,,Within standard,,No action,TECH-04,No,
CR-90040,2025-09-25T10:43:00,WO-1002,MC-02-007,CELL-02,CL-GEN,4,Lubrication as per chart,OK,,Within standard,,No action,TECH-04,No,
CR-90041,2025-09-25T10:43:00,WO-1002,MC-02-007,CELL-02,CL-GEN,5,Electrical panel inspection,OK,,Within standard,,No action,TECH-04,No,
CR-90042,2025-09-25T10:43:00,WO-1002,MC-02-007,CELL-02,CL-GEN,6,Abnormal noise / vibration,OK,,Within standard,,No action,TECH-04,No,
CR-90043,2025-09-25T11:50:00,WO-1002,MC-02-008,CELL-02,CL-VISION,1,Camera lens cleanliness,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-02-008_1.jpg,Adjusted and re-verified,TECH-02,Yes,
CR-90044,2025-09-25T11:50:00,WO-1002,MC-02-008,CELL-02,CL-VISION,2,Lighting intensity,OK,1.3,Within standard,,No action,TECH-02,No,
CR-90045,2025-09-25T11:50:00,WO-1002,MC-02-008,CELL-02,CL-VISION,3,Reject gate actuation,NOT OK,,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-02-008_3.jpg,Adjusted and re-verified,TECH-02,Yes,
CR-90046,2025-09-25T11:50:00,WO-1002,MC-02-008,CELL-02,CL-VISION,4,Master sample pass/fail check,OK,,Within standard,,No action,TECH-02,No,
CR-90047,2025-09-30T08:42:00,WO-1003,MC-03-009,CELL-03,CL-PRESS,1,Slide / ram guideway lubrication,OK,,Within standard,,No action,TECH-01,No,
CR-90048,2025-09-30T08:42:00,WO-1003,MC-03-009,CELL-03,CL-PRESS,2,Clutch & brake air pressure,OK,50.6,Within standard,,No action,TECH-01,No,
CR-90049,2025-09-30T08:42:00,WO-1003,MC-03-009,CELL-03,CL-PRESS,3,Die clamping bolt torque,NOT OK,55.3,"Deviation observed, corrected on the spot",https://epqpl.sharepoint.com/sites/Maintenance/PM_Photos/MC-03-009_3.jpg,Adjusted and re-verified,TECH-01,No,
CR-90050,2025-09-30T08:42:00,WO-1003,MC-03-009,CELL-03,CL-PRESS,4,Safety light curtain function,OK,,Within standard,,No action,TECH-01,No,
CR-90051,2025-09-30T08:42:00,WO-1003,MC-03-009,CELL-03,CL-PRESS,5,Flywheel bearing temperature,OK,32.5,Within standard,,No action,TECH-01,No,
CR-90052,2025-09-30T08:42:00,WO-1003,MC-03-009,CELL-03,CL-PRESS,6,Oil level in gearbox,OK,,Within standard,,No action,TECH-01,No,
CR-90053,2025-09-30T08:42:00,WO-1003,MC-03-009,CELL-03,CL-PRESS,7,Air line FRL water drain,OK,,Within standard,,No action,TECH-01,No,
CR-90054,2025-09-30T08:42:00,WO-1003,MC-03-009,CELL-03,CL-PRESS,8,Emergency stop function,OK,,Within standard,,No action,TECH-01,No,
CR-90055,2025-09-30T10:24:00,WO-1003,MC-03-010,CELL-03,CL-GEN,1,General cleanliness and 5S,OK,,Within standard,,No action,TECH-04,No,
CR-90056,2025-09-30T10:24:00,WO-1003,MC-03-010,CELL-03,CL-GEN,2,Fastener tightness check,OK,,Within standard,,No action,TECH-04,No,
CR-90057,2025-09-30T10:24:00,WO-1003,MC-03-010,CELL-03,CL-GEN,3,Guard and interlock function,OK,,Within standard,,No action,TECH-04,No,
