Machine_ID,Machine_Name,Cell_ID,Machine_Family,Serial_No,Location_Tag,Checklist_ID,QR_Payload_URL,Criticality,Active
MC-01-001,Power Press 25T,CELL-01,Power,SN39256,Bay-6,CL-PRESS,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-01-001&FilterType1=Text,A,Yes
MC-01-002,Strip Feeder,CELL-01,Strip,SN65302,Bay-1,CL-FEED,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-01-002&FilterType1=Text,A,Yes
MC-01-003,Deburring Unit,CELL-01,Deburring,SN76237,Bay-5,CL-GEN,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-01-003&FilterType1=Text,A,Yes
MC-01-004,Coil Decoiler,CELL-01,Coil,SN68878,Bay-1,CL-GEN,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-01-004&FilterType1=Text,A,Yes
MC-02-005,Spot Welding Machine,CELL-02,Spot,SN54118,Bay-1,CL-WELD,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-02-005&FilterType1=Text,C,Yes
MC-02-006,Element Bending Unit,CELL-02,Element,SN55082,Bay-1,CL-GEN,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-02-006&FilterType1=Text,C,Yes
MC-02-007,Silver Plating Line,CELL-02,Silver,SN20328,Bay-6,CL-GEN,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-02-007&FilterType1=Text,B,Yes
MC-02-008,Vision Inspection,CELL-02,Vision,SN19116,Bay-6,CL-VISION,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-02-008&FilterType1=Text,A,Yes
MC-03-009,Cap Fitting Press,CELL-03,Cap,SN69429,Bay-2,CL-PRESS,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-03-009&FilterType1=Text,B,Yes
MC-03-010,Bowl Feeder Unit,CELL-03,Bowl,SN97841,Bay-6,CL-GEN,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-03-010&FilterType1=Text,A,Yes
MC-03-011,Riveting Station,CELL-03,Riveting,SN42087,Bay-4,CL-PRESS,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-03-011&FilterType1=Text,C,Yes
MC-03-012,Contact Resistance Tester,CELL-03,Contact,SN83000,Bay-6,CL-TEST,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-03-012&FilterType1=Text,B,Yes
MC-04-013,Sand Filling Machine - CAV,CELL-04,Sand,SN45093,Bay-2,CL-FILL,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-04-013&FilterType1=Text,B,Yes
MC-04-014,Rotary Vibrator Table,CELL-04,Rotary,SN75435,Bay-6,CL-FILL,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-04-014&FilterType1=Text,C,Yes
MC-04-015,Sand Dryer Oven,CELL-04,Sand,SN28301,Bay-6,CL-OVEN,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-04-015&FilterType1=Text,B,Yes
MC-04-016,Dust Extraction Unit,CELL-04,Dust,SN62350,Bay-2,CL-UTIL,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-04-016&FilterType1=Text,A,Yes
MC-05-017,Curing Autoclave A,CELL-05,Curing,SN24371,Bay-6,CL-OVEN,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-05-017&FilterType1=Text,A,Yes
MC-05-018,Curing Autoclave B,CELL-05,Curing,SN18326,Bay-4,CL-OVEN,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-05-018&FilterType1=Text,C,Yes
MC-05-019,Induction Steam Generator,CELL-05,Induction,SN11504,Bay-6,CL-UTIL,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-05-019&FilterType1=Text,B,Yes
MC-05-020,Condensate Recovery Pump,CELL-05,Condensate,SN48469,Bay-2,CL-UTIL,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-05-020&FilterType1=Text,C,Yes
MC-06-021,Body Assembly Station,CELL-06,Body,SN23947,Bay-6,CL-GEN,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-06-021&FilterType1=Text,A,Yes
MC-06-022,Hydro-Pneumatic Press,CELL-06,Hydro-Pneumatic,SN31174,Bay-5,CL-PRESS,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-06-022&FilterType1=Text,B,Yes
MC-06-023,Torque Tightening Station,CELL-06,Torque,SN24662,Bay-3,CL-GEN,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-06-023&FilterType1=Text,A,Yes
MC-06-024,Leak Test Rig,CELL-06,Leak,SN84364,Bay-1,CL-TEST,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-06-024&FilterType1=Text,C,Yes
MC-07-025,HIOKI Resistance Tester,CELL-07,HIOKI,SN31643,Bay-5,CL-TEST,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-07-025&FilterType1=Text,C,Yes
MC-07-026,Hi-Pot Test Bench,CELL-07,Hi-Pot,SN36365,Bay-4,CL-TEST,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-07-026&FilterType1=Text,B,Yes
MC-07-027,Calibration Chamber,CELL-07,Calibration,SN69177,Bay-2,CL-TEST,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-07-027&FilterType1=Text,A,Yes
MC-08-028,Fiber Laser Marker,CELL-08,Fiber,SN38864,Bay-1,CL-GEN,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-08-028&FilterType1=Text,A,Yes
MC-08-029,SATO Label Printer,CELL-08,SATO,SN14117,Bay-1,CL-GEN,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-08-029&FilterType1=Text,A,Yes
MC-08-030,Carton Sealing Machine,CELL-08,Carton,SN73624,Bay-5,CL-GEN,https://epqpl.sharepoint.com/sites/Maintenance/Lists/Machine_Master/AllItems.aspx?FilterField1=Machine_ID&FilterValue1=MC-08-030&FilterType1=Text,A,Yes
