Task_ID,WO_No,Machine_ID,Cell_ID,Assigned_Tech_ID,Task_Status,Scan_Start_Time,Scan_End_Time,Duration_Min,Checklist_Response_ID,NOT_OK_Count,Abnormality_Raised,Spare_Used_Flag,Completed_By,Completion_Date,Skip_Reason
TSK-5001,WO-1001,MC-01-001,CELL-01,TECH-01,Completed,2025-09-10T07:29:00,2025-09-10T08:57:00,88,CR-90001,1,No,No,TECH-01,2025-09-10,
TSK-5002,WO-1001,MC-01-002,CELL-01,TECH-01,Completed,2025-09-10T08:49:00,2025-09-10T10:18:00,89,CR-90009,0,No,No,TECH-01,2025-09-10,
TSK-5003,WO-1001,MC-01-003,CELL-01,TECH-05,Completed,2025-09-10T09:15:00,2025-09-10T11:38:00,143,CR-90013,0,No,Yes,TECH-05,2025-09-10,
TSK-5004,WO-1001,MC-01-004,CELL-01,TECH-04,Completed,2025-09-10T10:42:00,2025-09-10T12:24:00,102,CR-90019,3,Yes,No,TECH-04,2025-09-10,
TSK-5005,WO-1002,MC-02-005,CELL-02,TECH-04,Completed,2025-09-25T07:04:00,2025-09-25T09:10:00,126,CR-90025,0,No,Yes,TECH-04,2025-09-25,
TSK-5006,WO-1002,MC-02-006,CELL-02,TECH-02,Completed,2025-09-25T08:24:00,2025-09-25T10:27:00,123,CR-90031,0,No,Yes,TECH-02,2025-09-25,
TSK-5007,WO-1002,MC-02-007,CELL-02,TECH-04,Completed,2025-09-25T09:26:00,2025-09-25T10:43:00,77,CR-90037,0,No,No,TECH-04,2025-09-25,
TSK-5008,WO-1002,MC-02-008,CELL-02,TECH-02,Completed,2025-09-25T10:26:00,2025-09-25T11:50:00,84,CR-90043,2,Yes,No,TECH-02,2025-09-25,
TSK-5009,WO-1003,MC-03-009,CELL-03,TECH-01,Completed,2025-09-30T07:24:00,2025-09-30T08:42:00,78,CR-90047,1,No,No,TECH-01,2025-09-30,
TSK-5010,WO-1003,MC-03-010,CELL-03,TECH-04,Completed,2025-09-30T08:37:00,2025-09-30T10:24:00,107,CR-90055,1,No,Yes,TECH-04,2025-09-30,
TSK-5011,WO-1003,MC-03-011,CELL-03,TECH-04,Completed,2025-09-30T09:11:00,2025-09-30T09:52:00,41,CR-90061,0,No,No,TECH-04,2025-09-30,
TSK-5012,WO-1003,MC-03-012,CELL-03,TECH-03,Completed,2025-09-30T10:48:00,2025-09-30T13:09:00,141,CR-90069,0,No,No,TECH-03,2025-09-30,
TSK-5013,WO-1004,MC-04-013,CELL-04,TECH-02,Completed,2025-10-03T07:30:00,2025-10-03T09:30:00,120,CR-90074,0,No,No,TECH-02,2025-10-03,
TSK-5014,WO-1004,MC-04-014,CELL-04,TECH-05,Completed,2025-10-03T08:38:00,2025-10-03T10:48:00,130,CR-90081,1,No,No,TECH-05,2025-10-03,
TSK-5015,WO-1004,MC-04-015,CELL-04,TECH-06,Completed,2025-10-03T09:24:00,2025-10-03T10:49:00,85,CR-90088,2,Yes,Yes,TECH-06,2025-10-03,
