Plan_ID,Plan_Month,Cell_ID,Planned_Date,Planned_Tech_ID,Plan_Version,WO_No,Adherence_Status
PLN-1001,2025-09,CELL-01,2025-09-10,TECH-06,V1,WO-1001,On Time
PLN-1002,2025-09,CELL-02,2025-09-21,TECH-04,V1,WO-1002,Delayed
PLN-1003,2025-09,CELL-03,2025-09-27,TECH-05,V1,WO-1003,Delayed
PLN-1004,2025-10,CELL-04,2025-10-04,TECH-02,V1,WO-1004,On Time
PLN-1005,2025-10,CELL-05,2025-10-12,TECH-04,V1,WO-1005,Delayed
PLN-1006,2025-10,CELL-06,2025-10-21,TECH-05,V1,WO-1006,On Time
PLN-1007,2025-10,CELL-07,2025-10-28,TECH-03,V1,WO-1007,On Time
PLN-1008,2025-11,CELL-08,2025-11-01,TECH-01,V1,WO-1008,Cancelled
PLN-1009,2025-11,CELL-01,2025-11-12,TECH-03,V1,WO-1009,On Time
PLN-1010,2025-11,CELL-02,2025-11-14,TECH-01,V1,WO-1010,Delayed
PLN-1011,2025-11,CELL-03,2025-11-24,TECH-02,V1,WO-1011,Cancelled
PLN-1012,2025-12,CELL-04,2025-12-02,TECH-04,V1,WO-1012,Delayed
PLN-1013,2025-12,CELL-05,2025-12-11,TECH-02,V1,WO-1013,On Time
PLN-1014,2025-12,CELL-06,2025-12-18,TECH-04,V1,WO-1014,Cancelled
PLN-1015,2025-12,CELL-07,2025-12-26,TECH-01,V1,WO-1015,Delayed
PLN-1016,2025-12,CELL-08,2025-12-31,TECH-01,V1,WO-1016,On Time
PLN-1017,2026-01,CELL-01,2026-01-10,TECH-03,V1,WO-1017,On Time
PLN-1018,2026-01,CELL-02,2026-01-20,TECH-06,V1,WO-1018,On Time
PLN-1019,2026-01,CELL-03,2026-01-21,TECH-04,V1,WO-1019,On Time
PLN-1020,2026-02,CELL-04,2026-02-02,TECH-06,V1,WO-1020,On Time
PLN-1021,2026-02,CELL-05,2026-02-09,TECH-04,V1,WO-1021,Delayed
PLN-1022,2026-02,CELL-06,2026-02-19,TECH-06,V1,WO-1022,Delayed
PLN-1023,2026-02,CELL-07,2026-02-17,TECH-03,V1,WO-1023,Delayed
PLN-1024,2026-03,CELL-08,2026-03-01,TECH-05,V1,WO-1024,On Time
PLN-1025,2026-03,CELL-01,2026-03-12,TECH-01,V1,WO-1025,On Time
PLN-1026,2026-03,CELL-02,2026-03-20,TECH-04,V1,WO-1026,On Time
PLN-1027,2026-03,CELL-03,2026-03-27,TECH-03,V1,WO-1027,On Time
PLN-1028,2026-03,CELL-04,2026-03-30,TECH-06,V1,WO-1028,On Time
PLN-1029,2026-04,CELL-05,2026-04-12,TECH-06,V1,WO-1029,Delayed
PLN-1030,2026-04,CELL-06,2026-04-16,TECH-02,V1,WO-1030,On Time
PLN-1031,2026-04,CELL-07,2026-04-18,TECH-03,V1,WO-1031,On Time
PLN-1032,2026-05,CELL-08,2026-05-01,TECH-01,V1,WO-1032,Delayed
PLN-1033,2026-05,CELL-01,2026-05-07,TECH-04,V1,WO-1033,On Time
PLN-1034,2026-05,CELL-02,2026-05-13,TECH-01,V1,WO-1034,On Time
PLN-1035,2026-05,CELL-03,2026-05-23,TECH-01,V1,WO-1035,Delayed
PLN-1036,2026-05,CELL-04,2026-05-31,TECH-05,V1,WO-1036,On Time
PLN-1037,2026-06,CELL-05,2026-06-08,TECH-02,V1,WO-1037,On Time
PLN-1038,2026-06,CELL-06,2026-06-17,TECH-03,V1,WO-1038,Delayed
PLN-1039,2026-06,CELL-07,2026-06-18,TECH-03,V1,WO-1039,Delayed
PLN-1040,2026-06,CELL-08,2026-06-28,TECH-05,V1,WO-1040,On Time
PLN-1041,2026-07,CELL-01,2026-07-06,TECH-05,V1,WO-1041,On Time
PLN-1042,2026-07,CELL-02,2026-07-11,TECH-06,V1,WO-1042,On Time
PLN-1043,2026-07,CELL-03,2026-07-22,TECH-04,V1,WO-1043,On Time
PLN-1044,2026-07,CELL-04,2026-07-29,TECH-02,V1,WO-1044,On Time
PLN-1045,2026-07,CELL-05,2026-07-29,TECH-04,V1,WO-1045,Delayed
PLN-1046,2026-08,CELL-06,2026-08-10,TECH-06,V1,WO-1046,On Time
PLN-1047,2026-08,CELL-05,2026-08-08,TECH-05,V1,WO-1047,Overdue
PLN-1048,2026-08,CELL-02,2026-08-21,TECH-04,V1,WO-1048,In Progress
PLN-1049,2026-09,CELL-08,2026-09-02,TECH-01,V1,WO-1049,Planned
PLN-1050,2026-09,CELL-04,2026-09-01,TECH-04,V1,WO-1050,Planned
PLN-1051,2026-08,CELL-06,2026-08-28,TECH-04,V1,WO-1051,In Progress
PLN-F534,2026-09,CELL-01,2026-09-20,TECH-04,V1 Forecast,,Forecast
PLN-F571,2026-09,CELL-02,2026-09-10,TECH-02,V1 Forecast,,Forecast
PLN-F132,2026-09,CELL-03,2026-09-06,TECH-04,V1 Forecast,,Forecast
PLN-F346,2026-09,CELL-04,2026-09-03,TECH-01,V1 Forecast,,Forecast
