WO_No,Cell_ID,Trigger_Type,Trigger_Hours_At_Creation,WO_Created_Date,Planned_Month,Planned_End_Date,Priority,Machines_In_Scope,Machines_Completed,WO_Status,Reset_Applied,Remarks
WO-1001,CELL-01,Std Hours,4125,2025-09-05,2025-09,2025-09-12,Low,4,4,Completed,Yes,
WO-1002,CELL-02,Calendar Backstop,0,2025-09-12,2025-09,2025-09-23,Low,4,4,Completed,Yes,
WO-1003,CELL-03,Calendar Backstop,0,2025-09-19,2025-09,2025-09-29,Medium,4,4,Completed,Yes,
WO-1004,CELL-04,Std Hours,4102,2025-09-27,2025-10,2025-10-06,High,4,4,Completed,Yes,
WO-1005,CELL-05,Std Hours,4078,2025-10-04,2025-10,2025-10-14,Low,4,4,Completed,Yes,
WO-1006,CELL-06,Calendar Backstop,0,2025-10-12,2025-10,2025-10-23,Low,4,4,Completed,Yes,
WO-1007,CELL-07,Std Hours,4116,2025-10-19,2025-10,2025-10-30,Medium,3,3,Completed,Yes,
WO-1008,CELL-08,Calendar Backstop,0,2025-10-26,2025-11,2025-11-03,Low,3,0,Cancelled,No,Cell shifted to shutdown PM
WO-1009,CELL-01,Std Hours,4030,2025-11-03,2025-11,2025-11-14,High,4,4,Completed,Yes,
WO-1010,CELL-02,Std Hours,4291,2025-11-10,2025-11,2025-11-16,Medium,4,4,Completed,Yes,
WO-1011,CELL-03,Std Hours,4251,2025-11-18,2025-11,2025-11-26,High,4,0,Cancelled,No,Cell shifted to shutdown PM
WO-1012,CELL-04,Calendar Backstop,0,2025-11-25,2025-12,2025-12-04,High,4,4,Completed,Yes,
WO-1013,CELL-05,Calendar Backstop,0,2025-12-02,2025-12,2025-12-13,Medium,4,4,Completed,Yes,
WO-1014,CELL-06,Std Hours,4077,2025-12-10,2025-12,2025-12-20,Low,4,0,Cancelled,No,Cell shifted to shutdown PM
WO-1015,CELL-07,Std Hours,4240,2025-12-17,2025-12,2025-12-28,Medium,3,3,Completed,Yes,
WO-1016,CELL-08,Std Hours,4220,2025-12-25,2025-12,2026-01-02,Medium,3,3,Completed,Yes,
WO-1017,CELL-01,Calendar Backstop,0,2026-01-01,2026-01,2026-01-12,Medium,4,4,Completed,Yes,
WO-1018,CELL-02,Calendar Backstop,0,2026-01-08,2026-01,2026-01-22,High,4,4,Completed,Yes,
WO-1019,CELL-03,Std Hours,4032,2026-01-16,2026-01,2026-01-23,Low,4,4,Completed,Yes,
WO-1020,CELL-04,Std Hours,4232,2026-01-23,2026-02,2026-02-04,High,4,4,Completed,Yes,
WO-1021,CELL-05,Calendar Backstop,0,2026-01-31,2026-02,2026-02-11,Medium,4,4,Completed,Yes,
WO-1022,CELL-06,Std Hours,4231,2026-02-07,2026-02,2026-02-21,Medium,4,4,Completed,Yes,
WO-1023,CELL-07,Std Hours,4285,2026-02-14,2026-02,2026-02-19,High,3,3,Completed,Yes,
WO-1024,CELL-08,Std Hours,4025,2026-02-22,2026-03,2026-03-03,High,3,3,Completed,Yes,
WO-1025,CELL-01,Std Hours,4130,2026-03-01,2026-03,2026-03-14,Medium,4,4,Completed,Yes,
WO-1026,CELL-02,Std Hours,4113,2026-03-09,2026-03,2026-03-22,Medium,4,4,Completed,Yes,
WO-1027,CELL-03,Std Hours,4034,2026-03-16,2026-03,2026-03-29,Low,4,4,Completed,Yes,
WO-1028,CELL-04,Calendar Backstop,0,2026-03-23,2026-03,2026-04-01,Low,4,4,Completed,Yes,
WO-1029,CELL-05,Calendar Backstop,0,2026-03-31,2026-04,2026-04-14,Low,4,4,Completed,Yes,
WO-1030,CELL-06,Std Hours,4292,2026-04-07,2026-04,2026-04-18,Low,4,4,Completed,Yes,
WO-1031,CELL-07,Std Hours,4171,2026-04-15,2026-04,2026-04-20,Medium,3,3,Completed,Yes,
WO-1032,CELL-08,Calendar Backstop,0,2026-04-22,2026-05,2026-05-03,Medium,3,3,Completed,Yes,
WO-1033,CELL-01,Std Hours,4008,2026-04-29,2026-05,2026-05-09,Medium,4,4,Completed,Yes,
WO-1034,CELL-02,Std Hours,4024,2026-05-07,2026-05,2026-05-15,Medium,4,4,Completed,Yes,
WO-1035,CELL-03,Std Hours,4029,2026-05-14,2026-05,2026-05-25,High,4,4,Completed,Yes,
WO-1036,CELL-04,Calendar Backstop,0,2026-05-22,2026-05,2026-06-02,Medium,4,4,Completed,Yes,
WO-1037,CELL-05,Std Hours,4245,2026-05-29,2026-06,2026-06-10,Low,4,4,Completed,Yes,
WO-1038,CELL-06,Std Hours,4303,2026-06-05,2026-06,2026-06-19,Medium,4,4,Completed,Yes,
WO-1039,CELL-07,Std Hours,4176,2026-06-13,2026-06,2026-06-20,Low,3,3,Completed,Yes,
WO-1040,CELL-08,Std Hours,4024,2026-06-20,2026-06,2026-06-30,High,3,3,Completed,Yes,
WO-1041,CELL-01,Std Hours,4060,2026-06-28,2026-07,2026-07-08,Medium,4,4,Completed,Yes,
WO-1042,CELL-02,Std Hours,4135,2026-07-05,2026-07,2026-07-13,Medium,4,4,Completed,Yes,
WO-1043,CELL-03,Std Hours,4279,2026-07-12,2026-07,2026-07-24,Medium,4,4,Completed,Yes,
WO-1044,CELL-04,Std Hours,4139,2026-07-20,2026-07,2026-07-31,Medium,4,4,Completed,Yes,
WO-1045,CELL-05,Std Hours,4004,2026-07-27,2026-07,2026-07-31,Medium,4,4,Completed,Yes,
WO-1046,CELL-06,Std Hours,4238,2026-08-04,2026-08,2026-08-12,Medium,4,4,Completed,Yes,
WO-1047,CELL-05,Std Hours,4180,2026-08-06,2026-08,2026-08-10,High,4,2,Overdue,No,Awaiting production window
WO-1048,CELL-02,Std Hours,4055,2026-08-19,2026-08,2026-08-23,Medium,4,1,In Progress,No,
WO-1049,CELL-08,Std Hours,4020,2026-08-26,2026-09,2026-09-04,Medium,3,0,Planned,No,
WO-1050,CELL-04,Std Hours,4008,2026-08-28,2026-09,2026-09-03,Medium,4,0,Planned,No,
WO-1051,CELL-06,Std Hours,4102,2026-08-24,2026-08,2026-08-30,Medium,4,2,In Progress,No,
