Scan_ID,Scan_DateTime,Machine_ID,Cell_ID,Tech_ID,Scan_Action,Device,WO_No,Comments
SCN-70001,2025-09-10T07:29:00,MC-01-001,CELL-01,TECH-01,Start PM,Android,WO-1001,
SCN-70002,2025-09-10T08:57:00,MC-01-001,CELL-01,TECH-01,Complete PM,Android,WO-1001,
SCN-70003,2025-09-10T08:49:00,MC-01-002,CELL-01,TECH-01,Start PM,Android,WO-1001,
SCN-70004,2025-09-10T10:18:00,MC-01-002,CELL-01,TECH-01,Complete PM,Android,WO-1001,
SCN-70005,2025-09-10T09:15:00,MC-01-003,CELL-01,TECH-05,Start PM,Android,WO-1001,
SCN-70006,2025-09-10T11:38:00,MC-01-003,CELL-01,TECH-05,Complete PM,Android,WO-1001,
SCN-70007,2025-09-10T10:42:00,MC-01-004,CELL-01,TECH-04,Start PM,Android,WO-1001,
SCN-70008,2025-09-10T12:24:00,MC-01-004,CELL-01,TECH-04,Complete PM,Android,WO-1001,
SCN-70009,2025-09-25T07:04:00,MC-02-005,CELL-02,TECH-04,Start PM,Android,WO-1002,
SCN-70010,2025-09-25T09:10:00,MC-02-005,CELL-02,TECH-04,Complete PM,Android,WO-1002,
SCN-70011,2025-09-25T08:24:00,MC-02-006,CELL-02,TECH-02,Start PM,Android,WO-1002,
SCN-70012,2025-09-25T10:27:00,MC-02-006,CELL-02,TECH-02,Complete PM,Android,WO-1002,
SCN-70013,2025-09-25T09:26:00,MC-02-007,CELL-02,TECH-04,Start PM,Android,WO-1002,
SCN-70014,2025-09-25T10:43:00,MC-02-007,CELL-02,TECH-04,Complete PM,Android,WO-1002,
SCN-70015,2025-09-25T10:26:00,MC-02-008,CELL-02,TECH-02,Start PM,Android,WO-1002,
SCN-70016,2025-09-25T11:50:00,MC-02-008,CELL-02,TECH-02,Complete PM,Android,WO-1002,
SCN-70017,2025-09-30T07:24:00,MC-03-009,CELL-03,TECH-01,Start PM,Android,WO-1003,
SCN-70018,2025-09-30T08:42:00,MC-03-009,CELL-03,TECH-01,Complete PM,Android,WO-1003,
SCN-70019,2025-09-30T08:37:00,MC-03-010,CELL-03,TECH-04,Start PM,Android,WO-1003,
SCN-70020,2025-09-30T10:24:00,MC-03-010,CELL-03,TECH-04,Complete PM,Android,WO-1003,
SCN-70021,2025-09-30T09:11:00,MC-03-011,CELL-03,TECH-04,Start PM,Android,WO-1003,
SCN-70022,2025-09-30T09:52:00,MC-03-011,CELL-03,TECH-04,Complete PM,Android,WO-1003,
SCN-70023,2025-09-30T10:48:00,MC-03-012,CELL-03,TECH-03,Start PM,Android,WO-1003,
SCN-70024,2025-09-30T13:09:00,MC-03-012,CELL-03,TECH-03,Complete PM,Android,WO-1003,
SCN-70025,2025-10-03T07:30:00,MC-04-013,CELL-04,TECH-02,Start PM,Android,WO-1004,
SCN-70026,2025-10-03T09:30:00,MC-04-013,CELL-04,TECH-02,Complete PM,Android,WO-1004,
SCN-70027,2025-10-03T08:38:00,MC-04-014,CELL-04,TECH-05,Start PM,Android,WO-1004,
SCN-70028,2025-10-03T10:48:00,MC-04-014,CELL-04,TECH-05,Complete PM,Android,WO-1004,
SCN-70029,2025-10-03T09:24:00,MC-04-015,CELL-04,TECH-06,Start PM,Android,WO-1004,
SCN-70030,2025-10-03T10:49:00,MC-04-015,CELL-04,TECH-06,Complete PM,Android,WO-1004,
SCN-70031,2025-10-03T10:50:00,MC-04-016,CELL-04,TECH-01,Start PM,Android,WO-1004,
SCN-70032,2025-10-03T12:37:00,MC-04-016,CELL-04,TECH-01,Complete PM,Android,WO-1004,
SCN-70033,2025-10-16T07:17:00,MC-05-017,CELL-05,TECH-06,Start PM,Android,WO-1005,
SCN-70034,2025-10-16T09:10:00,MC-05-017,CELL-05,TECH-06,Complete PM,Android,WO-1005,
SCN-70035,2025-10-16T08:15:00,MC-05-018,CELL-05,TECH-03,Start PM,Android,WO-1005,
SCN-70036,2025-10-16T10:36:00,MC-05-018,CELL-05,TECH-03,Complete PM,Android,WO-1005,
SCN-70037,2025-10-16T09:20:00,MC-05-019,CELL-05,TECH-04,Start PM,Android,WO-1005,
SCN-70038,2025-10-16T10:18:00,MC-05-019,CELL-05,TECH-04,Complete PM,Android,WO-1005,
SCN-70039,2025-10-16T10:44:00,MC-05-020,CELL-05,TECH-05,Start PM,Android,WO-1005,
SCN-70040,2025-10-16T13:11:00,MC-05-020,CELL-05,TECH-05,Complete PM,Android,WO-1005,
SCN-70041,2025-10-23T07:18:00,MC-06-021,CELL-06,TECH-01,Start PM,Android,WO-1006,
SCN-70042,2025-10-23T08:21:00,MC-06-021,CELL-06,TECH-01,Complete PM,Android,WO-1006,
SCN-70043,2025-10-23T08:37:00,MC-06-022,CELL-06,TECH-06,Start PM,Android,WO-1006,
SCN-70044,2025-10-23T09:59:00,MC-06-022,CELL-06,TECH-06,Complete PM,Android,WO-1006,
SCN-70045,2025-10-23T09:29:00,MC-06-023,CELL-06,TECH-06,Start PM,Android,WO-1006,
SCN-70046,2025-10-23T10:38:00,MC-06-023,CELL-06,TECH-06,Complete PM,Android,WO-1006,
SCN-70047,2025-10-23T10:12:00,MC-06-024,CELL-06,TECH-06,Start PM,Android,WO-1006,
SCN-70048,2025-10-23T11:27:00,MC-06-024,CELL-06,TECH-06,Complete PM,Android,WO-1006,
SCN-70049,2025-10-27T07:34:00,MC-07-025,CELL-07,TECH-06,Start PM,Android,WO-1007,
SCN-70050,2025-10-27T08:25:00,MC-07-025,CELL-07,TECH-06,Complete PM,Android,WO-1007,
SCN-70051,2025-10-27T08:40:00,MC-07-026,CELL-07,TECH-02,Start PM,Android,WO-1007,
SCN-70052,2025-10-27T11:06:00,MC-07-026,CELL-07,TECH-02,Complete PM,Android,WO-1007,
SCN-70053,2025-10-27T09:03:00,MC-07-027,CELL-07,TECH-02,Start PM,Android,WO-1007,
SCN-70054,2025-10-27T10:10:00,MC-07-027,CELL-07,TECH-02,Complete PM,Android,WO-1007,
SCN-70055,2025-11-13T07:42:00,MC-01-001,CELL-01,TECH-03,Start PM,Android,WO-1009,
SCN-70056,2025-11-13T08:27:00,MC-01-001,CELL-01,TECH-03,Complete PM,Android,WO-1009,
SCN-70057,2025-11-13T08:30:00,MC-01-002,CELL-01,TECH-05,Start PM,Android,WO-1009,
SCN-70058,2025-11-13T09:42:00,MC-01-002,CELL-01,TECH-05,Complete PM,Android,WO-1009,
SCN-70059,2025-11-13T09:43:00,MC-01-003,CELL-01,TECH-01,Start PM,Android,WO-1009,
SCN-70060,2025-11-13T10:47:00,MC-01-003,CELL-01,TECH-01,Complete PM,Android,WO-1009,
SCN-70061,2025-11-13T10:07:00,MC-01-004,CELL-01,TECH-04,Start PM,Android,WO-1009,
SCN-70062,2025-11-13T11:51:00,MC-01-004,CELL-01,TECH-04,Complete PM,Android,WO-1009,
SCN-70063,2025-11-17T07:19:00,MC-02-005,CELL-02,TECH-06,Start PM,Android,WO-1010,
SCN-70064,2025-11-17T09:23:00,MC-02-005,CELL-02,TECH-06,Complete PM,Android,WO-1010,
SCN-70065,2025-11-17T08:47:00,MC-02-006,CELL-02,TECH-04,Start PM,Android,WO-1010,
SCN-70066,2025-11-17T10:03:00,MC-02-006,CELL-02,TECH-04,Complete PM,Android,WO-1010,
SCN-70067,2025-11-17T09:43:00,MC-02-007,CELL-02,TECH-02,Start PM,Android,WO-1010,
SCN-70068,2025-11-17T12:05:00,MC-02-007,CELL-02,TECH-02,Complete PM,Android,WO-1010,
SCN-70069,2025-11-17T10:17:00,MC-02-008,CELL-02,TECH-06,Start PM,Android,WO-1010,
SCN-70070,2025-11-17T12:05:00,MC-02-008,CELL-02,TECH-06,Complete PM,Android,WO-1010,
SCN-70071,2025-12-06T07:20:00,MC-04-013,CELL-04,TECH-03,Start PM,Android,WO-1012,
SCN-70072,2025-12-06T08:09:00,MC-04-013,CELL-04,TECH-03,Complete PM,Android,WO-1012,
SCN-70073,2025-12-06T08:13:00,MC-04-014,CELL-04,TECH-01,Start PM,Android,WO-1012,
SCN-70074,2025-12-06T09:22:00,MC-04-014,CELL-04,TECH-01,Complete PM,Android,WO-1012,
SCN-70075,2025-12-06T09:38:00,MC-04-015,CELL-04,TECH-06,Start PM,Android,WO-1012,
SCN-70076,2025-12-06T11:55:00,MC-04-015,CELL-04,TECH-06,Complete PM,Android,WO-1012,
SCN-70077,2025-12-06T10:14:00,MC-04-016,CELL-04,TECH-01,Start PM,Android,WO-1012,
SCN-70078,2025-12-06T12:36:00,MC-04-016,CELL-04,TECH-01,Complete PM,Android,WO-1012,
SCN-70079,2025-12-13T07:21:00,MC-05-017,CELL-05,TECH-04,Start PM,Android,WO-1013,
SCN-70080,2025-12-13T09:36:00,MC-05-017,CELL-05,TECH-04,Complete PM,Android,WO-1013,
SCN-70081,2025-12-13T08:37:00,MC-05-018,CELL-05,TECH-05,Start PM,Android,WO-1013,
SCN-70082,2025-12-13T10:36:00,MC-05-018,CELL-05,TECH-05,Complete PM,Android,WO-1013,
SCN-70083,2025-12-13T09:48:00,MC-05-019,CELL-05,TECH-05,Start PM,Android,WO-1013,
SCN-70084,2025-12-13T11:32:00,MC-05-019,CELL-05,TECH-05,Complete PM,Android,WO-1013,
SCN-70085,2025-12-13T10:36:00,MC-05-020,CELL-05,TECH-02,Start PM,Android,WO-1013,
SCN-70086,2025-12-13T12:00:00,MC-05-020,CELL-05,TECH-02,Complete PM,Android,WO-1013,
SCN-70087,2025-12-30T07:41:00,MC-07-025,CELL-07,TECH-04,Start PM,Android,WO-1015,
SCN-70088,2025-12-30T08:26:00,MC-07-025,CELL-07,TECH-04,Complete PM,Android,WO-1015,
SCN-70089,2025-12-30T08:34:00,MC-07-026,CELL-07,TECH-04,Start PM,Android,WO-1015,
SCN-70090,2025-12-30T09:13:00,MC-07-026,CELL-07,TECH-04,Complete PM,Android,WO-1015,
SCN-70091,2025-12-30T09:47:00,MC-07-027,CELL-07,TECH-02,Start PM,Android,WO-1015,
SCN-70092,2025-12-30T10:33:00,MC-07-027,CELL-07,TECH-02,Complete PM,Android,WO-1015,
SCN-70093,2026-01-01T07:43:00,MC-08-028,CELL-08,TECH-05,Start PM,Android,WO-1016,
SCN-70094,2026-01-01T09:59:00,MC-08-028,CELL-08,TECH-05,Complete PM,Android,WO-1016,
SCN-70095,2026-01-01T08:24:00,MC-08-029,CELL-08,TECH-05,Start PM,Android,WO-1016,
SCN-70096,2026-01-01T10:18:00,MC-08-029,CELL-08,TECH-05,Complete PM,Android,WO-1016,
SCN-70097,2026-01-01T09:40:00,MC-08-030,CELL-08,TECH-04,Start PM,Android,WO-1016,
SCN-70098,2026-01-01T10:47:00,MC-08-030,CELL-08,TECH-04,Complete PM,Android,WO-1016,
SCN-70099,2026-01-09T07:16:00,MC-01-001,CELL-01,TECH-06,Start PM,Android,WO-1017,
SCN-70100,2026-01-09T08:49:00,MC-01-001,CELL-01,TECH-06,Complete PM,Android,WO-1017,
SCN-70101,2026-01-09T08:44:00,MC-01-002,CELL-01,TECH-03,Start PM,Android,WO-1017,
SCN-70102,2026-01-09T09:56:00,MC-01-002,CELL-01,TECH-03,Complete PM,Android,WO-1017,
SCN-70103,2026-01-09T09:49:00,MC-01-003,CELL-01,TECH-06,Start PM,Android,WO-1017,
SCN-70104,2026-01-09T11:59:00,MC-01-003,CELL-01,TECH-06,Complete PM,Android,WO-1017,
SCN-70105,2026-01-09T10:40:00,MC-01-004,CELL-01,TECH-02,Start PM,Android,WO-1017,
SCN-70106,2026-01-09T11:39:00,MC-01-004,CELL-01,TECH-02,Complete PM,Android,WO-1017,
SCN-70107,2026-01-19T07:37:00,MC-02-005,CELL-02,TECH-01,Start PM,Android,WO-1018,
SCN-70108,2026-01-19T08:58:00,MC-02-005,CELL-02,TECH-01,Complete PM,Android,WO-1018,
SCN-70109,2026-01-19T08:33:00,MC-02-006,CELL-02,TECH-03,Start PM,Android,WO-1018,
SCN-70110,2026-01-19T10:12:00,MC-02-006,CELL-02,TECH-03,Complete PM,Android,WO-1018,
SCN-70111,2026-01-19T09:07:00,MC-02-007,CELL-02,TECH-03,Start PM,Android,WO-1018,
SCN-70112,2026-01-19T10:41:00,MC-02-007,CELL-02,TECH-03,Complete PM,Android,WO-1018,
SCN-70113,2026-01-19T10:29:00,MC-02-008,CELL-02,TECH-01,Start PM,Android,WO-1018,
SCN-70114,2026-01-19T11:51:00,MC-02-008,CELL-02,TECH-01,Complete PM,Android,WO-1018,
SCN-70115,2026-01-22T07:07:00,MC-03-009,CELL-03,TECH-04,Start PM,Android,WO-1019,
SCN-70116,2026-01-22T07:59:00,MC-03-009,CELL-03,TECH-04,Complete PM,Android,WO-1019,
SCN-70117,2026-01-22T08:08:00,MC-03-010,CELL-03,TECH-05,Start PM,Android,WO-1019,
SCN-70118,2026-01-22T09:32:00,MC-03-010,CELL-03,TECH-05,Complete PM,Android,WO-1019,
SCN-70119,2026-01-22T09:44:00,MC-03-011,CELL-03,TECH-06,Start PM,Android,WO-1019,
SCN-70120,2026-01-22T11:28:00,MC-03-011,CELL-03,TECH-06,Complete PM,Android,WO-1019,
SCN-70121,2026-01-22T10:39:00,MC-03-012,CELL-03,TECH-04,Start PM,Android,WO-1019,
SCN-70122,2026-01-22T12:06:00,MC-03-012,CELL-03,TECH-04,Complete PM,Android,WO-1019,
SCN-70123,2026-02-03T07:38:00,MC-04-013,CELL-04,TECH-06,Start PM,Android,WO-1020,
SCN-70124,2026-02-03T08:15:00,MC-04-013,CELL-04,TECH-06,Complete PM,Android,WO-1020,
SCN-70125,2026-02-03T08:13:00,MC-04-014,CELL-04,TECH-05,Start PM,Android,WO-1020,
SCN-70126,2026-02-03T10:03:00,MC-04-014,CELL-04,TECH-05,Complete PM,Android,WO-1020,
SCN-70127,2026-02-03T09:17:00,MC-04-015,CELL-04,TECH-01,Start PM,Android,WO-1020,
SCN-70128,2026-02-03T11:41:00,MC-04-015,CELL-04,TECH-01,Complete PM,Android,WO-1020,
SCN-70129,2026-02-03T10:20:00,MC-04-016,CELL-04,TECH-05,Start PM,Android,WO-1020,
SCN-70130,2026-02-03T10:57:00,MC-04-016,CELL-04,TECH-05,Complete PM,Android,WO-1020,
SCN-70131,2026-02-12T07:33:00,MC-05-017,CELL-05,TECH-06,Start PM,Android,WO-1021,
SCN-70132,2026-02-12T08:46:00,MC-05-017,CELL-05,TECH-06,Complete PM,Android,WO-1021,
SCN-70133,2026-02-12T08:27:00,MC-05-018,CELL-05,TECH-04,Start PM,Android,WO-1021,
SCN-70134,2026-02-12T10:29:00,MC-05-018,CELL-05,TECH-04,Complete PM,Android,WO-1021,
SCN-70135,2026-02-12T09:38:00,MC-05-019,CELL-05,TECH-03,Start PM,Android,WO-1021,
SCN-70136,2026-02-12T10:31:00,MC-05-019,CELL-05,TECH-03,Complete PM,Android,WO-1021,
SCN-70137,2026-02-12T10:24:00,MC-05-020,CELL-05,TECH-03,Start PM,Android,WO-1021,
SCN-70138,2026-02-12T12:15:00,MC-05-020,CELL-05,TECH-03,Complete PM,Android,WO-1021,
SCN-70139,2026-02-23T07:25:00,MC-06-021,CELL-06,TECH-04,Start PM,Android,WO-1022,
SCN-70140,2026-02-23T08:53:00,MC-06-021,CELL-06,TECH-04,Complete PM,Android,WO-1022,
SCN-70141,2026-02-23T08:09:00,MC-06-022,CELL-06,TECH-03,Start PM,Android,WO-1022,
SCN-70142,2026-02-23T10:11:00,MC-06-022,CELL-06,TECH-03,Complete PM,Android,WO-1022,
SCN-70143,2026-02-23T09:35:00,MC-06-023,CELL-06,TECH-05,Start PM,Android,WO-1022,
SCN-70144,2026-02-23T10:52:00,MC-06-023,CELL-06,TECH-05,Complete PM,Android,WO-1022,
SCN-70145,2026-02-23T10:46:00,MC-06-024,CELL-06,TECH-04,Start PM,Android,WO-1022,
SCN-70146,2026-02-23T11:27:00,MC-06-024,CELL-06,TECH-04,Complete PM,Android,WO-1022,
SCN-70147,2026-02-20T07:17:00,MC-07-025,CELL-07,TECH-06,Start PM,Android,WO-1023,
SCN-70148,2026-02-20T07:55:00,MC-07-025,CELL-07,TECH-06,Complete PM,Android,WO-1023,
SCN-70149,2026-02-20T08:11:00,MC-07-026,CELL-07,TECH-01,Start PM,Android,WO-1023,
SCN-70150,2026-02-20T10:37:00,MC-07-026,CELL-07,TECH-01,Complete PM,Android,WO-1023,
SCN-70151,2026-02-20T09:05:00,MC-07-027,CELL-07,TECH-01,Start PM,Android,WO-1023,
SCN-70152,2026-02-20T11:15:00,MC-07-027,CELL-07,TECH-01,Complete PM,Android,WO-1023,
SCN-70153,2026-03-01T07:31:00,MC-08-028,CELL-08,TECH-04,Start PM,Android,WO-1024,
SCN-70154,2026-03-01T09:23:00,MC-08-028,CELL-08,TECH-04,Complete PM,Android,WO-1024,
SCN-70155,2026-03-01T08:07:00,MC-08-029,CELL-08,TECH-05,Start PM,Android,WO-1024,
SCN-70156,2026-03-01T09:26:00,MC-08-029,CELL-08,TECH-05,Complete PM,Android,WO-1024,
SCN-70157,2026-03-01T09:37:00,MC-08-030,CELL-08,TECH-06,Start PM,Android,WO-1024,
SCN-70158,2026-03-01T11:14:00,MC-08-030,CELL-08,TECH-06,Complete PM,Android,WO-1024,
SCN-70159,2026-03-12T07:47:00,MC-01-001,CELL-01,TECH-04,Start PM,Android,WO-1025,
SCN-70160,2026-03-12T09:17:00,MC-01-001,CELL-01,TECH-04,Complete PM,Android,WO-1025,
SCN-70161,2026-03-12T08:04:00,MC-01-002,CELL-01,TECH-03,Start PM,Android,WO-1025,
SCN-70162,2026-03-12T09:29:00,MC-01-002,CELL-01,TECH-03,Complete PM,Android,WO-1025,
SCN-70163,2026-03-12T09:36:00,MC-01-003,CELL-01,TECH-04,Start PM,Android,WO-1025,
