Req_ID,Request_DateTime,WO_No,Machine_ID,Cell_ID,Spare_Code,Spare_Description,Qty_Requested,Requested_By,Urgency,Reason,Approval_Status,Approved_By,Approved_Date,Issue_Status,Issued_Qty,Issue_Date,Stock_At_Request,Remarks
REQ-4000,2026-07-15T18:00:00,WO-1015,MC-02-006,CELL-02,SP-1012,Vibration Motor 0.25 kW,3,TECH-06,Normal,Stock top-up,Pending,,,Not Issued,0,,2,
REQ-4001,2026-02-28T09:00:00,WO-1045,MC-03-010,CELL-03,SP-1012,Vibration Motor 0.25 kW,1,TECH-05,Breakdown,PM replacement,Approved,Pravin,2026-03-01,Issued,1,2026-03-02,2,
REQ-4002,2026-03-12T19:00:00,WO-1041,MC-02-006,CELL-02,SP-1010,Steam Trap 1/2 inch Thermodynamic,2,TECH-05,Normal,Stock top-up,Rejected,Pravin,2026-03-13,Not Issued,0,,2,
REQ-4003,2025-11-09T10:00:00,WO-1011,MC-02-005,CELL-02,SP-1006,Contactor 25A 3P 240V Coil,3,TECH-06,Normal,Predictive finding,Approved,Pravin,2025-11-10,Issued,3,2025-11-11,7,
REQ-4004,2026-02-13T10:00:00,WO-1023,MC-04-015,CELL-04,SP-1001,Proximity Sensor M12 PNP NO,1,TECH-03,Normal,PM replacement,Approved,Pravin,2026-02-14,Issued,1,2026-02-15,14,
REQ-4005,2026-05-13T18:00:00,WO-1027,MC-01-002,CELL-01,SP-1007,PLC Battery CR2032 FX Series,2,TECH-04,Breakdown,Predictive finding,Approved,Pravin,2026-05-14,Issued,2,2026-05-15,12,
REQ-4006,2025-11-21T20:00:00,WO-1011,MC-05-018,CELL-05,SP-1007,PLC Battery CR2032 FX Series,2,TECH-04,Normal,PM replacement,Approved,Pravin,2025-11-22,Issued,2,2025-11-23,12,
REQ-4007,2026-03-13T11:00:00,WO-1022,MC-03-010,CELL-03,SP-1001,Proximity Sensor M12 PNP NO,1,TECH-02,Breakdown,Breakdown repair,Rejected,Pravin,2026-03-14,Not Issued,0,,14,
REQ-4008,2026-07-08T08:00:00,WO-1046,MC-06-024,CELL-06,SP-1002,Pneumatic Cylinder 32x100 DA,4,TECH-01,Breakdown,Breakdown repair,Approved,Pravin,2026-07-09,Issued,4,2026-07-10,5,
REQ-4009,2026-05-11T09:00:00,WO-1014,MC-05-020,CELL-05,SP-1015,Servo Drive Cooling Fan 24V,3,TECH-02,Breakdown,Predictive finding,Approved,Pravin,2026-05-12,Issued,3,2026-05-13,8,
