Upload_Month,Cell_ID,Actual_Std_Hours,Production_Qty,Upload_Date,Remarks
2025-09,CELL-01,872,138898,2025-10-02,
2025-09,CELL-02,665.4,138484,2025-10-02,
2025-09,CELL-03,803.8,146718,2025-10-02,
2025-09,CELL-04,886.5,136015,2025-10-02,
2025-09,CELL-05,806.2,145253,2025-10-02,
2025-09,CELL-06,937.8,149528,2025-10-02,
2025-09,CELL-07,990.8,153382,2025-10-02,
2025-09,CELL-08,611.1,113482,2025-10-02,
2025-10,CELL-01,850.9,139643,2025-11-01,
2025-10,CELL-02,578.7,117717,2025-11-01,
2025-10,CELL-03,640.6,118940,2025-11-01,
2025-10,CELL-04,823.5,144238,2025-11-01,
2025-10,CELL-05,806,146181,2025-11-01,
2025-10,CELL-06,978,158685,2025-11-01,
2025-10,CELL-07,870.9,143107,2025-11-01,
2025-10,CELL-08,713.9,135856,2025-11-01,
2025-11,CELL-01,667,112703,2025-12-02,
2025-11,CELL-02,888.4,137126,2025-12-02,
2025-11,CELL-03,744.6,156296,2025-12-02,
2025-11,CELL-04,1008.1,155646,2025-12-02,
2025-11,CELL-05,624.4,103595,2025-12-02,
2025-11,CELL-06,977.3,198247,2025-12-02,
2025-11,CELL-07,950.8,163700,2025-12-02,
2025-11,CELL-08,597.3,119474,2025-12-02,
2025-12,CELL-01,864.7,161440,2026-01-01,
2025-12,CELL-02,1003.7,189938,2026-01-01,
2025-12,CELL-03,523.8,104249,2026-01-01,
2025-12,CELL-04,666.7,126541,2026-01-01,
2025-12,CELL-05,980.1,154912,2026-01-01,
2025-12,CELL-06,576.6,90193,2026-01-01,
2025-12,CELL-07,791.1,131592,2026-01-01,
2025-12,CELL-08,816.4,157611,2026-01-01,
2026-01,CELL-01,619.8,116556,2026-02-01,
2026-01,CELL-02,649.4,116445,2026-02-01,
2026-01,CELL-03,963.6,193458,2026-02-01,
2026-01,CELL-04,565.2,99144,2026-02-01,
2026-01,CELL-05,655.6,98479,2026-02-01,
2026-01,CELL-06,897.8,168990,2026-02-01,
2026-01,CELL-07,648.4,126096,2026-02-01,
2026-01,CELL-08,790.3,138825,2026-02-01,
2026-02,CELL-01,524.7,81073,2026-03-04,
2026-02,CELL-02,952.7,194575,2026-03-04,
2026-02,CELL-03,787.3,157519,2026-03-04,
2026-02,CELL-04,805.4,127966,2026-03-04,
2026-02,CELL-05,582.4,98131,2026-03-04,
2026-02,CELL-06,960.5,189955,2026-03-04,
2026-02,CELL-07,941.7,192046,2026-03-04,
2026-02,CELL-08,622.9,102760,2026-03-04,
2026-03,CELL-01,570.4,112258,2026-04-01,
2026-03,CELL-02,953.2,166221,2026-04-01,
2026-03,CELL-03,824.1,131257,2026-04-01,
2026-03,CELL-04,975.6,196950,2026-04-01,
2026-03,CELL-05,998.3,198308,2026-04-01,
2026-03,CELL-06,951.9,144200,2026-04-01,
2026-03,CELL-07,880.9,149692,2026-04-01,
2026-03,CELL-08,976.1,193398,2026-04-01,
2026-04,CELL-01,943.4,187401,2026-05-02,
2026-04,CELL-02,650.7,128345,2026-05-02,
2026-04,CELL-03,573,115935,2026-05-02,
2026-04,CELL-04,940.7,153659,2026-05-02,
2026-04,CELL-05,920.1,163426,2026-05-02,
2026-04,CELL-06,669.5,132374,2026-05-02,
2026-04,CELL-07,631.5,95621,2026-05-02,
2026-04,CELL-08,614.6,104294,2026-05-02,
2026-05,CELL-01,943.5,196260,2026-06-01,
2026-05,CELL-02,656.8,123799,2026-06-01,
2026-05,CELL-03,715.8,149508,2026-06-01,
2026-05,CELL-04,782.7,161513,2026-06-01,
2026-05,CELL-05,576.5,120041,2026-06-01,
2026-05,CELL-06,607.5,126209,2026-06-01,
2026-05,CELL-07,650.1,101743,2026-06-01,
2026-05,CELL-08,732.9,141972,2026-06-01,
2026-06,CELL-01,673.7,125559,2026-07-02,
2026-06,CELL-02,770.6,133399,2026-07-02,
2026-06,CELL-03,802.5,132639,2026-07-02,
2026-06,CELL-04,867.3,130183,2026-07-02,
2026-06,CELL-05,973.5,177475,2026-07-02,
2026-06,CELL-06,872.5,169716,2026-07-02,
2026-06,CELL-07,848.6,145834,2026-07-02,
2026-06,CELL-08,554.3,105236,2026-07-02,
2026-07,CELL-01,681.8,115111,2026-08-01,
2026-07,CELL-02,935.5,180724,2026-08-01,
2026-07,CELL-03,667.2,112461,2026-08-01,
2026-07,CELL-04,720.1,125401,2026-08-01,
2026-07,CELL-05,664.9,104813,2026-08-01,
2026-07,CELL-06,726,149862,2026-08-01,
2026-07,CELL-07,851.9,173931,2026-08-01,
2026-07,CELL-08,821.6,138075,2026-08-01,
2026-08,CELL-01,788.5,118294,2026-09-01,
2026-08,CELL-02,660.6,116129,2026-09-01,
2026-08,CELL-03,804.2,152220,2026-09-01,
2026-08,CELL-04,747.8,132008,2026-09-01,
2026-08,CELL-05,624.7,111440,2026-09-01,
2026-08,CELL-06,961.6,190167,2026-09-01,
2026-08,CELL-07,603.1,93533,2026-09-01,
2026-08,CELL-08,772.6,145230,2026-09-01,
